"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate","CYP3A4|Ontogeny factor","CYP3A4|Ontogeny factor GI","UGT1A4|Ontogeny factor","UGT1A4|Ontogeny factor GI"
0,"MALE","European_ICRP_2002",13.8277329777325,0.804965094958237,0.359423798529326,0.176884745608106,58.277119626512,1.65318902053553,40,8.84158856506745,0.36,0.13258106693334,0.0570778396503176,0.0464294962592591,1.89765960771873,1.00650768911252,0.847343802083286,5.07193877493873,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0191171719829519,0.00198787283822714,0.413156712894386,0.0507002366815574,0.850424361012167,0.1497622686837,30,54,0.140784276982424,1.5,14.9561694933099,0.9,44.9428287880892,2.50563910024825,0.793493900800066,0.231219117668801,14.1702336500155,2.06998825652141,1.26139479101486,0.924869938785001,0.231219117668801,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0307366265329608,0.506700107635015,148.675640852966,0.141067356305827,1.24893784283815,2381.16799375981,0.0922296119456669,0.782279598095449,0.5208047063858,0.182909596375317,0.241356395122404,0.58,3.6625818837083,0.013,0.0238,0.0072,0.240289053778335,0.819377356764518,0.76785054394702,0.313468109794645,0.022,0.0049,0.0078,0.0042,0.0798160433839666,0.257937402360924,0.672879555616731,0.76785054394702,0.030610647535859,0.0263957096157531,0.480274730123635,0.13264181164402,0.528467088553829,0.167690251422309,0.0832364313608285,0.865381633218282,0.965921739160231,0.429479583049669,1.30466122907064,1.54282843270591
1,"MALE","European_ICRP_2002",12.3632615016024,1.0877801847964,0.819695447406347,0.176306054258359,53.6278542535969,1.71248475774773,40,8.37399919219678,0.36,0.124878723725758,0.057284826992407,0.0502871464025707,1.75359587849922,1.06202588294652,0.936089691219131,3.69126841148447,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.021009059598769,0.00182600901406066,0.424233576852815,0.0632598660302954,0.883949133012103,0.110124738697481,30,54,0.107326110981764,1.5,15.0915429807339,0.9,44.849081275595,2.36517805720207,1.29914512435792,0.232608861509712,7.6643407302111,1.68123762123539,1.26185702992282,0.930428321191272,0.232608861509712,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0376958931239036,0.52327834041258,161.340544062089,0.122947258772552,1.15978918228733,2383.36193603667,0.0698193476804367,0.887204782547517,0.567468201442887,0.18317268745506,0.34436628553371,0.58,3.63013848866079,0.013,0.0238,0.0072,0.239167756183617,0.819228934416112,0.767711455186492,0.312875152422523,0.022,0.0049,0.0078,0.0042,0.0798015854733328,0.256733749575634,0.672757669939742,0.767711455186492,0.0359995113346747,0.0438320903258059,0.531386526201315,0.138111996088999,0.483320523861263,0.160339293717955,0.0612970787218424,0.849501276118957,0.868324649573779,0.781401915014446,1.54604075088257,1.24662698633806
2,"MALE","European_ICRP_2002",9.51448398262679,1.20985525043457,0.912757377110319,0.141477743749649,46.5558578654191,0.992432026189022,40,8.2006552923089,0.36,0.102279463482711,0.0458735859361749,0.0430703038536181,1.57015599317441,1.07864678043771,0.739899223997708,2.71035338844776,0.598410725499695,0.590930591430948,0.00149602681374924,0.351437915024086,0.351589274495343,0.421907129394412,0.638055436064049,0.688172334324649,0.00119682145099939,0.00151397913551423,0.316430347045809,0.0210953564697206,0.0703178548990687,0.0163974323857112,0.00189979620625634,0.336682140583482,0.053464792242926,0.700444784581959,0.123221744933535,30,54,0.111680577175422,1.5,15.4466052467524,0.9,44.1097856165765,2.18966028567716,0.54320829529823,0.215372522499944,7.42322612883133,1.0114741537852,1.1220955247526,0.861490014320039,0.215372522499944,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0215353508519105,0.467654091110222,234.059237144381,0.108994433605206,1.20949206327506,2354.77501569957,0.0529730247645408,0.784788033247323,0.287613169746814,0.166783670038767,0.224078559905188,0.58,2.49861196118595,0.013,0.0238,0.0072,0.252091474311983,0.821376056480427,0.769723554778205,0.320908156857317,0.022,0.0049,0.0078,0.0042,0.0800107379308924,0.270606667340546,0.674520904581953,0.769723554778205,0.0328111431580474,0.0217598825555245,0.413498055201314,0.110490629694907,0.391465037685893,0.15056656854726,0.111066387769379,0.764945230057519,0.469190669229554,0.816215581484394,0.932510275624538,1.89443593696191
3,"MALE","European_ICRP_2002",6.68233926628618,0.992288345172587,0.951988084003005,0.142218822554086,35.6709402183629,0.575650794466795,40,6.85465689317674,0.36,0.0800170759000631,0.0349851507784264,0.0518859448899441,1.08626548700334,0.734224189721961,0.596789727900424,1.99750787072219,0.510886666838027,0.504500583502552,0.00127721666709507,0.430626349051309,0.439113333159095,0.526935999790914,0.544732908516046,0.587519666863731,0.00102177333367605,0.00129254326710021,0.395201999843185,0.0263467999895457,0.087822666631819,0.0227730718359355,0.00165323630911363,0.333848808006731,0.047173600586234,0.828164311418645,0.0962838756491058,30,54,0.148619327404085,1.5,15.0412386415727,0.9,46.3423163380718,2.78684961847334,1.37739357440486,0.185772719423032,10.2138213260317,0.543653609641788,0.623516467010817,0.743086634200072,0.185772719423032,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0194578709385182,0.556969745395632,186.109435946939,0.0894423114833054,1.42149611494308,2232.24133357324,0.0436494686539509,0.904951577756541,0.280765728083584,0.185035173277591,0.11871459324,0.58,1.60969697481269,0.013,0.0238,0.0072,0.221826744869999,0.841406253831531,0.788494146623876,0.370921904663985,0.022,0.0049,0.0078,0.0042,0.0819618915569556,0.238119104662711,0.690969870594081,0.788494146623876,0.0334421455431672,0.02477346064346,0.613539842882743,0.0804846815207059,0.314370098488905,0.145794704292787,0.0228735917506412,0.927389904038287,0.282909823056201,0.819078741462251,1.37539591280493,1.15931402105799
4,"MALE","European_ICRP_2002",12.4773101227549,0.860562377134592,1.6928738523128,0.196107399830457,52.5804946299612,1.67062681851472,40,7.97652065383374,0.36,0.116738182516542,0.0501421703786605,0.0488678036059831,1.5616178224091,0.982500400773704,0.850168775277286,5.36779139207519,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.019223952728909,0.00186160905638636,0.390763096460671,0.0781461865504117,0.834052901354916,0.120569739369654,30,54,0.0789258773580929,1.5,14.6151320635168,0.9,44.7835038606953,2.48000557970976,0.936791689269902,0.231627816058939,12.8018645237292,1.5384751155186,0.431655633744133,0.92650455796757,0.231627816058939,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0381600657669369,0.505196532209514,256.67727158302,0.120352212997008,1.16026944147261,2381.81319228504,0.0716690325709485,0.818543876190741,0.520484249088249,0.213489724675444,0.222505704967838,0.58,2.4742153063602,0.013,0.0238,0.0072,0.239959300547318,0.819333708451017,0.767809640471977,0.313293731814853,0.022,0.0049,0.0078,0.0042,0.0798117915753765,0.257583429966047,0.672843711255706,0.767809640471977,0.031466663174739,0.0266392791495369,0.442153889062939,0.135964263336168,0.498550304681147,0.158330408846037,0.0894022007072401,0.781068652307047,1.0990993174382,0.958187750667424,0.877190008908605,1.04896918347395
5,"MALE","European_ICRP_2002",11.8316548460582,0.843698206053808,0.64212919561917,0.186058134931394,51.1952170432756,1.21639254792425,40,7.9744073085592,0.36,0.108591754873894,0.0472707162820113,0.0458756290060434,1.55947481244131,1.02443990666068,0.730047702961833,5.16638902609572,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0185562636208501,0.00157331884250887,0.38320949903066,0.0845227421740352,0.738077054535917,0.107229886845735,30,54,0.142830839485809,1.5,14.945551937231,0.9,44.2735677304582,2.16469726145553,0.78849968546057,0.220981700341975,5.46791624944727,1.06162083356658,0.994926352394719,0.88392463744242,0.220981700341975,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0235621028422331,0.538332389701853,243.097431701564,0.109339354151236,1.24863862837947,2365.0065242732,0.0790163424900117,0.82161433690059,0.489466133594568,0.181682451002159,0.243906523685942,0.58,2.10340053385416,0.013,0.0238,0.0072,0.24854898707451,0.820470696037933,0.768875128222971,0.317836074520757,0.022,0.0049,0.0078,0.0042,0.0799225462231773,0.266803997424614,0.673777414995393,0.768875128222971,0.0322495858619064,0.0280619094262829,0.427569810189962,0.130371787929601,0.498491344247704,0.155963635045327,0.0265466496205623,0.7097507469185,0.65201290307811,0.4206650714445,0.888489612971211,0.897767884477377
6,"MALE","European_ICRP_2002",15.8846875247277,0.864979228049089,1.23210378665925,0.246722945716067,59.503026671304,1.51751912013512,40,8.0238826269341,0.36,0.120421979025923,0.0459201223085456,0.0493369942978409,1.55171152890383,0.989279465431202,0.821800330426912,8.80394659163871,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0194020575752598,0.00173716003698895,0.419593372599228,0.0533812074537517,0.838535832010682,0.0933453577484978,30,54,0.107668732400014,1.5,15.1721195210844,0.9,43.4141816782776,2.29430007112784,0.494545084888246,0.228039354378167,19.8791199695433,0.561679438618749,1.17953477872932,0.912152242321466,0.228039354378167,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0251168222822441,0.540215912391262,189.913082090474,0.128558450013444,1.28002062881112,2376.148207445,0.0615788464131904,0.800696499957717,0.495738188243833,0.196017349842267,0.166905672907506,0.58,2.63560084946569,0.013,0.0238,0.0072,0.242854606382061,0.819716950235686,0.76816878197179,0.314824808798649,0.022,0.0049,0.0078,0.0042,0.0798491233891729,0.260691385381872,0.673158432622647,0.76816878197179,0.0333392562417347,0.0340213110786028,0.453443532350729,0.121617551138394,0.506581171244229,0.166371735632909,0.049225249393125,0.840469312516937,0.879752104565146,0.691821962714788,0.7046888472328,0.78112371649943
7,"MALE","European_ICRP_2002",9.61529894136818,0.950118707052097,0.860656416906937,0.161302230463882,45.4118751858934,1.48271895501889,40,7.72078056052465,0.36,0.117630044700952,0.0488145134248971,0.0454277900134908,1.42329963588673,1.18863917501494,0.805242750532859,2.44589463657867,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0187921467885769,0.00176879237591353,0.380408645323957,0.0697044529739726,0.771741755249512,0.131602351938799,30,54,0.0786629432644112,1.5,14.7947980739603,0.9,44.9553322614148,2.17592990022876,0.470027649921701,0.227223725508255,10.746487082787,1.25312953307266,1.89187414629623,0.908890074843471,0.227223725508255,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0336317292280623,0.511857098610075,167.046318052443,0.0990090750828605,1.28110816809702,2374.8606013357,0.0652458452679959,0.87485551208278,0.57048258054651,0.190745540022351,0.224681229905733,0.58,2.61866940681309,0.013,0.0238,0.0072,0.243512686427528,0.819804058052779,0.768250411985341,0.315172810449811,0.022,0.0049,0.0078,0.0042,0.0798576086142657,0.261397798990001,0.673229966292418,0.768250411985341,0.031639540582613,0.0373877750385019,0.429323317865532,0.124446047698222,0.375629815360388,0.142191871911873,0.0387618335319395,0.777337810049722,0.935814152232725,0.926473369296166,0.633636814305569,1.5514628773996
8,"MALE","European_ICRP_2002",11.2473811643914,1.15953952678004,0.607580734302731,0.230031847537409,46.7411080361633,0.82261058516922,40,6.99248788923494,0.36,0.0812383325090347,0.0347085150323561,0.045241350934815,1.14841205078088,0.881559324548517,0.636792314143852,5.46272769828879,0.562748222885536,0.555713870099467,0.00140687055721384,0.383703988817848,0.387251777110351,0.464702132532421,0.600030292651703,0.647160456318366,0.00112549644577107,0.00142375300390041,0.348526599399316,0.023235106626621,0.0774503554220702,0.0195410042709145,0.00144590777670904,0.293396679841131,0.0645943126534436,0.808752632469711,0.10409253011737,30,54,0.113913395825943,1.5,15.3640118265668,0.9,44.5911389101063,2.22483244956964,0.478260240724255,0.203311803758718,19.7744089126709,0.651000580464668,1.26785662499429,0.813245441140724,0.203311803758718,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0224844898640741,0.557537074605367,107.548682412198,0.0938331821483174,1.34157453157077,2304.84751203975,0.0448519226594995,0.874479020808304,0.378121945630149,0.1877966340837,0.215583905074935,0.58,2.11731487383116,0.013,0.0238,0.0072,0.239759825056391,0.829537549175334,0.777371809338168,0.341286729779694,0.022,0.0049,0.0078,0.0042,0.0808057538654148,0.257369303732848,0.681223190814763,0.777371809338168,0.0307776251584283,0.018161319159981,0.46193430140854,0.0868104938537748,0.444726501987572,0.143739111636175,0.0467138584748814,0.753244458105688,0.427982827929693,0.744882456394912,1.24311610765773,1.25015331153203
9,"MALE","European_ICRP_2002",9.87463749812955,0.838598777571437,1.37692870562967,0.148328928881128,47.3087901063443,1.20672983057179,40,8.15920134633316,0.36,0.105842316605354,0.0479628870171517,0.0476775438019294,1.58626275903895,0.995288607203966,0.779351680487639,2.79918369818038,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0158615997765921,0.00182339916418178,0.378327366222029,0.0627544397433128,0.734739069627379,0.0956924246235937,30,54,0.149494230121872,1.5,15.4855289259356,0.9,44.7348169943496,2.26170170092547,0.573148968505774,0.220755230404026,14.0617509501801,0.318300777658908,0.824437857319255,0.8830188543178,0.220755230404026,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.025078992566064,0.50965600918219,138.39732044327,0.116584142919384,1.24008483740002,2364.64900373116,0.0615324567340077,0.843838595327365,0.373813401616866,0.185315245139976,0.166275564802689,0.58,2.78509460233901,0.013,0.0238,0.0072,0.248731711537265,0.820494882653513,0.768897793855326,0.317932701694282,0.022,0.0049,0.0078,0.0042,0.0799249022560142,0.267000142328137,0.673797277246904,0.768897793855326,0.033609015400419,0.0264352757688839,0.433670598770881,0.127340087751343,0.445295112125828,0.154977001694922,0.0523773299285909,0.809680905856043,0.768239595172001,0.74527318937307,0.856169829570863,1.0606048653224
