"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.17264016,0.022009464,0.023155114
0,6,0.21402588,0.09611772,0.100111805
0,9,0.11322891,0.16366003,0.16958131
0,12,0.07760799,0.20245548,0.20945022
0,15,0.062478557,0.22725989,0.2349949
0,18,0.055291563,0.24573262,0.25406015
0,21,0.051403172,0.2611714,0.27001876
0,24,0.04895114,0.27503076,0.28435725
0,27,0.047153436,0.28796917,0.29774854
0,30,0.045673586,0.3002923,0.31050506
0,33,0.044362158,0.31214848,0.32277867
0,36,0.043151353,0.32361418,0.3346478
0,39,0.042009074,0.33473286,0.34615716
0,42,0.040920217,0.3455315,0.35733473
0,45,0.039876677,0.35602966,0.36820072
0,48,0.038873397,0.3662432,0.3787716
0,51,0.03790714,0.37618548,0.3890613
0,54,0.03697599,0.385868,0.3990818
0,57,0.03607817,0.39530146,0.4088442
0,60,0.035211843,0.404496,0.41835913
0,63,0.03437547,0.4134611,0.4276363
0,66,0.033567727,0.42220536,0.43668482
0,69,0.03278729,0.4307371,0.44551325
0,72,0.032032885,0.43906417,0.45412973
0,75,0.031303328,0.4471939,0.46254194
0,78,0.030597499,0.4551333,0.4707571
0,81,0.02991434,0.46288896,0.47878203
0,84,0.029252848,0.47046712,0.4866233
0,87,0.028612075,0.47787374,0.49428695
0,90,0.027991131,0.48511443,0.50177896
0,93,0.027389156,0.49219456,0.5091048
0,96,0.026805338,0.49911925,0.51626974
0,99,0.026238903,0.5058934,0.52327895
0,102,0.025689123,0.51252156,0.5301371
0,105,0.025155306,0.5190083,0.5368489
0,108,0.024636788,0.52535766,0.54341865
0,111,0.024132954,0.53157383,0.5498506
0,114,0.023643205,0.5376607,0.5561487
0,117,0.023166982,0.5436219,0.56231683
0,120,0.022703754,0.54946095,0.5683586
0,135,0.020565594,0.5769393,0.59679145
0,150,0.018686043,0.6018218,0.62253934
0,165,0.017022401,0.6244214,0.6459262
0,180,0.015541088,0.64500004,0.667223
0,195,0.014215471,0.6637794,0.6866591
0,210,0.01302418,0.6809493,0.704431
0,225,0.011949817,0.69667417,0.72070885
0,240,0.010978059,0.7110975,0.7356409
0,255,0.010096993,0.7243451,0.7493574
0,270,0.009296566,0.7365283,0.76197344
0,285,0.008568172,0.747746,0.77359146
0,300,0.007904393,0.75808674,0.78430283
0,315,0.0072987964,0.76762956,0.79418945
0,330,0.0067457566,0.77644545,0.8033247
0,345,0.006240303,0.7845984,0.81177473
0,360,0.00577801,0.7921464,0.81959945
0,375,0.0053549176,0.7991416,0.8268529
0,390,0.004967478,0.8056316,0.8335842
0,405,0.0046125017,0.8116593,0.8398378
0,420,0.004287114,0.8172638,0.845654
0,435,0.0039887056,0.8224807,0.8510696
0,450,0.0037149226,0.82734215,0.856118
0,465,0.0034636091,0.8318778,0.8608297
0,480,0.0032328146,0.83611447,0.8652324
0,495,0.0030207639,0.84007657,0.86935145
0,510,0.0028258367,0.84378654,0.8732099
0,525,0.0026465696,0.8472645,0.8768287
0,540,0.0024816224,0.85052925,0.8802271
0,555,0.0023297712,0.85359764,0.88342255
0,570,0.0021899003,0.8564851,0.88643116
0,585,0.0020609868,0.85920596,0.88926744
0,600,0.0019421047,0.861773,0.8919449
0,615,0.0018324025,0.8641982,0.8944757
0,630,0.0017311039,0.8664924,0.89687103
0,645,0.0016375002,0.86866534,0.89914113
0,660,0.001550944,0.8707263,0.90129536
0,675,0.0014708476,0.8726834,0.9033423
0,690,0.0013966718,0.8745444,0.9052898
0,705,0.0013279206,0.87631613,0.90714514
0,720,0.0012641433,0.8780051,0.90891474
0,735,0.0012049268,0.87961715,0.91060483
0,750,0.0011498964,0.88115764,0.91222084
0,765,0.0010987087,0.8826315,0.91376793
0,780,0.0010510477,0.8840432,0.9152507
0,795,0.001006626,0.885397,0.91667354
0,810,0.0009651801,0.8866967,0.9180403
0,825,0.0009264705,0.8879458,0.9193547
0,840,0.0008902771,0.8891475,0.9206199
0,855,0.00085639814,0.8903048,0.9218392
0,870,0.00082465034,0.8914205,0.92301524
0,885,0.0007948653,0.892497,0.9241507
0,900,0.0007668872,0.8935367,0.925248
0,915,0.0007405787,0.89454174,0.9263093
0,930,0.0007158067,0.8955141,0.92733663
0,945,0.00069245364,0.8964556,0.9283319
0,960,0.0006704127,0.8973679,0.9292969
0,975,0.0006495807,0.89825267,0.93023324
0,990,0.0006298704,0.8991112,0.93114233
0,1005,0.00061119616,0.899945,0.9320257
0,1020,0.0005934814,0.9007553,0.93288445
0,1035,0.00057665753,0.90154314,0.9337199
0,1050,0.00056065933,0.90230966,0.93453306
0,1065,0.0005454288,0.9030558,0.935325
0,1080,0.0005309114,0.9037825,0.9360968
0,1095,0.0005170573,0.9044907,0.9368491
0,1110,0.00050382165,0.9051811,0.9375829
0,1125,0.00049116154,0.9058545,0.9382989
0,1140,0.00047903883,0.90651166,0.93899786
0,1155,0.0004674179,0.9071531,0.93968046
0,1170,0.00045626546,0.9077795,0.9403473
0,1185,0.0004455523,0.90839154,0.940999
0,1200,0.00043525014,0.90898955,0.9416361
0,1215,0.00042533362,0.9095742,0.94225913
0,1230,0.00041577933,0.91014594,0.9428686
0,1245,0.00040656535,0.91070515,0.943465
0,1260,0.00039767203,0.9112523,0.94404864
0,1275,0.00038908076,0.9117878,0.9446201
0,1290,0.0003807744,0.912312,0.9451796
0,1305,0.0003727372,0.9128252,0.9457276
0,1320,0.00036495415,0.91332793,0.94626445
0,1335,0.0003574122,0.91382027,0.9467905
0,1350,0.00035009862,0.9143027,0.947306
0,1365,0.00034300168,0.91477543,0.9478113
0,1380,0.0003361105,0.91523874,0.9483067
0,1395,0.00032941485,0.9156929,0.9487924
0,1410,0.0003229057,0.9161382,0.9492687
0,1425,0.0003165744,0.9165748,0.9497358
0,1440,0.000310413,0.9170029,0.95019406
1,0,0,0,0
1,3,0.14348121,0.023097273,0.024408408
1,6,0.18950276,0.100838654,0.10520327
1,9,0.1071159,0.16981359,0.17608522
1,12,0.07357045,0.20838562,0.21572517
1,15,0.05908303,0.23346508,0.24156807
1,18,0.052260567,0.25268683,0.26142016
1,21,0.048548732,0.2691399,0.27843726
1,24,0.046149816,0.28413218,0.29395506
1,27,0.04433731,0.29823604,0.30855805
1,30,0.042810086,0.31171107,0.3225116
1,33,0.04143951,0.32468215,0.33594358
1,36,0.04016897,0.33721477,0.3489213
1,39,0.03897164,0.34934852,0.3614855
1,42,0.03783464,0.36111003,0.3736638
1,45,0.036750995,0.37251988,0.38547754
1,48,0.035715796,0.38359582,0.39694512
1,51,0.034725096,0.3943539,0.40808326
1,54,0.03377606,0.40480843,0.4189068
1,57,0.03286663,0.4149724,0.4294293
1,60,0.031994764,0.42485797,0.43966335
