"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate","CYP3A4|Ontogeny factor","CYP3A4|Ontogeny factor GI","UGT1A4|Ontogeny factor","UGT1A4|Ontogeny factor GI"
0,"MALE","European_ICRP_2002",45.9709556753719,0.919151867897094,0.708469878700268,0.194254546839695,140.161031948936,14.8015691641725,40,15.3835359101259,0.43,0.734564452265351,0.343007960501671,0.0345052872237439,7.54697521055735,1.4777605854419,0.476395295321035,8.21384580162224,0.729603138328345,0.720483099099241,0.00182400784582086,0.220396861671655,0.220396861671655,0.264476234005986,0.777939346242598,0.839043609077597,0.00145920627665669,0.00184589593997071,0.198357175504489,0.0132238117002993,0.044079372334331,0.035646270966114,0.0181391798561036,0.20526698102527,0.24759041116308,0.836601680510505,0.334875287705044,30,54,0.115297673700073,1.5,14.9699808490235,0.9,45.3723959788975,3.95029063541973,0.890709229760301,0.471160653548907,13.1747891312631,1.65850366488222,1.18317568840063,1.88462340791897,0.471160653548907,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.106731866557639,0.49269985293657,120.81324524067,0.520451349194165,1.23795997590908,2505,0.475283517565103,0.730316935655705,1.56215680742176,0.249204298626814,0.735404692298292,0.58,20.6745719523647,0.013,0.0238,0.0072,0.177,0.811,0.76,0.182381170029929,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0371744670819667,0.158655511749515,0.43395102212498,0.741713919980988,1.91613682238725,0.156948100762683,0.16309034673979,0.909433046702154,0.930784623610926,0.565694278445442,1.33589750180583,0.883125197646112
1,"MALE","European_ICRP_2002",44.372032105131,0.906792021790204,1.12708171603841,0.186277561481117,137.926999425116,12.5288924437616,40,15.4338539866706,0.43,0.618816433362937,0.284917484713624,0.0398035357823987,7.27969307537338,1.61241626456053,0.535884601250119,8.97271716390567,0.725057784887523,0.715994562576429,0.00181264446221881,0.224942215112477,0.224942215112477,0.269930658134972,0.773092863136322,0.833816452620652,0.00145011556977505,0.00183439619576543,0.202447993601229,0.0134965329067486,0.0449884430224953,0.0321388176910774,0.010491805869685,0.632762216032723,0.216716576288822,0.925658890157473,0.420842629485494,30,54,0.0980206547901104,1.5,14.8445534245229,0.9,42.8581292172962,3.42679503054557,1.65398736659644,0.433716031903417,19.2308076887313,1.33576244461356,0.971672098459741,1.73485401204389,0.433716031903417,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.12510187961632,0.464835666432276,146.796747030845,0.57297632882065,1.04814563480838,2505,0.335679656421663,0.813413658644258,0.838176305837912,0.289811722744412,0.942231518053045,0.58,19.66179047557,0.013,0.0238,0.0072,0.177,0.811,0.76,0.20965329067486,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.034243112760204,0.133889013949176,0.508142827014505,0.659034284949136,1.58022203743862,0.204837939876642,0.106319170914298,0.929027577510246,0.908597614756445,0.841706433139901,0.923311577694312,1.46345994714474
2,"MALE","European_ICRP_2002",59.2308745244324,0.880639103735802,0.729365004344613,0.201482571991425,167.961278805753,15.483558078056,40,17.1457042962075,0.43,0.864631199215802,0.379450233067583,0.0330289267828644,9.46415330850027,1.41527381217889,0.553162379351082,14.3837330168643,0.732256604364261,0.723103396809708,0.00183064151091065,0.218065767687776,0.217743395635739,0.261292074762886,0.780768604403394,0.842095095018901,0.00146451320872852,0.00185260920904158,0.195969056072165,0.0130646037381443,0.0435486791271477,0.0340825404525507,0.0204660661703171,0.155683595736319,0.323725352218412,0.742074997244937,0.325817682151995,30,54,0.150336861458962,1.5,15.091261028147,0.9,44.2824624124529,3.93082135853549,1.28607868101557,0.475254305337059,15.2313861661195,1.22236316037502,1.02929854179717,1.90099786609234,0.475254305337059,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.169011263591325,0.446871308269785,190.835438879283,0.545697025901076,1.05790763613388,2509.73886916495,0.326969518905109,0.737841627828385,0.480746119954367,0.236400385918089,0.780007691320494,0.58,26.0663742398683,0.013,0.0238,0.0072,0.177,0.811,0.76,0.179355255895925,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0348176234546042,0.218655957011822,0.439423981576674,0.886238615888119,2.44178191872009,0.139715212628523,0.138141502904102,0.945281048710243,0.801202237852852,0.350354081000589,2.24881767575287,1.13299050477569
3,"MALE","European_ICRP_2002",61.06215482596,1.02090984006191,1.08228166540447,0.193103922810829,173.675579195606,16.9811778166244,40,17.7824057225217,0.43,0.917464916402337,0.390335632829765,0.0373073965041179,10.4538545897285,1.46760845898546,0.517363437591658,6.40682081871221,0.73924549647758,0.730004927771611,0.00184811374119395,0.212075288733503,0.21075450352242,0.252905404226904,0.78822051061922,0.850132320949218,0.00147849099295516,0.00187029110608828,0.189679053170178,0.0126452702113452,0.0421509007044839,0.0301902983223161,0.0226352302158683,0.156231440960014,0.285718101214425,0.783872971101173,0.248523246924195,30,54,0.136912559503755,1.5,15.1360401776515,0.9,43.9717591172003,3.75474996681805,0.416764742246817,0.477807247784739,18.9553378941949,1.53308266075751,1.14559179424679,1.91121163270938,0.477807247784739,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.105045196310036,0.455094507515327,95.9682865111498,0.606122550588805,1.0571116173054,2524.41554260292,0.50345669319122,0.820486185814573,1.68415566507243,0.237268906969893,0.75020900232247,0.58,33.143460688033,0.013,0.0238,0.0072,0.177,0.811,0.76,0.177358429577834,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.032580302965487,0.187732895357139,0.42743948606846,0.913718193353491,2.7667678634176,0.130218235996998,0.208525083301088,0.926957482037765,1.01781535093739,1.99678714004646,1.14713385758748,0.689481317274482
4,"MALE","European_ICRP_2002",48.8554747114202,1.07574857213404,1.63984640740912,0.195492694842253,146.473726317234,16.4413166132017,40,15.8085250625124,0.43,0.824904675464345,0.340418305154138,0.0349735961796153,8.25681599109063,1.48971736919371,0.516666449132075,7.08428367948377,0.736726144194941,0.727517067392504,0.00184181536048735,0.214234733547193,0.213273855805059,0.255928626966071,0.785534251247856,0.847235065824182,0.00147345228838988,0.0018639171448132,0.191946470224553,0.0127964313483035,0.0426547711610118,0.0306803614238587,0.0185057380491942,0.169648926525207,0.346481970603743,0.867935748527037,0.521597792206583,30,54,0.144781168675544,1.5,14.9957350071525,0.9,42.810794624653,4.05961739087527,1.61878580071023,0.476886964386638,6.26682558351776,0.737081068013694,0.896317715708221,1.90752977930204,0.476886964386638,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.144376358805486,0.464877595624616,153.068378586147,0.522222787569815,0.974552893256991,2519.12490280938,0.425361929282206,0.684246756544625,1.53156662835138,0.241723744215754,0.76253086221313,0.58,23.3552933052836,0.013,0.0238,0.0072,0.177,0.811,0.76,0.178078244515731,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0356286790254127,0.163093016472148,0.441838575670621,0.854966375678294,2.06443874359233,0.13880724482975,0.148899182925767,0.862805517283452,1.11995561307428,0.815994035604825,2.19691875399239,1.91697903410026
5,"MALE","European_ICRP_2002",57.5686145072175,0.852952698706658,1.22613270145682,0.216944116485687,161.402329815344,16.2294587130796,40,16.2899199614396,0.43,0.812531584858206,0.364671449297,0.0355173009342484,8.80972591846855,1.50658788749538,0.520026902274194,5.97126416073683,0.735737473994371,0.726540755569442,0.00183934368498593,0.215082165147682,0.214262526005629,0.257115031206754,0.784480081646498,0.846098095093527,0.00147147494798874,0.00186141580920576,0.192836273405066,0.0128557515603377,0.0428525052011257,0.0333033497674848,0.0197682410960281,0.154982186405267,0.279658795669764,0.82553648302554,0.176882165533767,30,54,0.119058930560255,1.5,15.4167080258506,0.9,46.864049569182,3.60255231686481,0.557683041345358,0.47652581728623,17.5213756887254,0.94642618237606,1.15432722502529,1.9060849084232,0.47652581728623,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.17327360909831,0.427458618154443,61.4640766172307,0.669279711353516,1.08248523041273,2517.04869538818,0.292110184232144,0.673720412985156,1.68174808664321,0.221322159269273,1.31742022589156,0.58,31.6264186642034,0.013,0.0238,0.0072,0.177,0.811,0.76,0.178360721715894,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0335735255633346,0.172843214745848,0.413421953921393,0.819697185697684,2.53953988190589,0.1350080259872,0.335193540290463,0.857177730970885,0.899199366832214,0.72851414288995,1.17783803660267,0.829944367493161
6,"MALE","European_ICRP_2002",57.5149980909533,1.25199780825662,0.444930110363873,0.192151785394437,166.257850631712,13.7281397617087,40,17.3008859339943,0.43,0.728052767937175,0.336675796200774,0.0381974202107962,9.26166194342501,1.54151488251205,0.558818692836862,15.0346328551618,0.727456279523418,0.718363076029375,0.00181864069880854,0.222543720476582,0.222543720476582,0.267052464571899,0.775650258041844,0.83657472145193,0.00145491255904683,0.00184046438719425,0.200289348428924,0.013352623228595,0.0445087440953165,0.0335753131383436,0.0153076861111851,0.414012175272127,0.236921547931381,0.958785773933917,0.263728950759834,30,54,0.145397006262552,1.5,14.689790012511,0.9,44.9952971410698,3.26544389385132,1.61215258864355,0.453474830713913,17.340654650301,1.62289661434554,1.60880175089015,1.81388441029661,0.453474830713913,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.137177529626245,0.437604457077249,62.0831984187997,0.448343721424421,1.10858505094144,2505,0.430952661619143,0.712427457856606,1.61441523405785,0.244138208578233,0.844390536893823,0.58,23.2145991184663,0.013,0.0238,0.0072,0.177,0.811,0.76,0.195262322859495,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0364770500394506,0.117520728755756,0.468303999093744,0.830306033927492,2.20195129282687,0.178778288945396,0.256844803316171,0.920928810318009,0.962411243172844,1.05301905454106,0.750641346061516,0.867247244428717
7,"MALE","European_ICRP_2002",65.9013068324919,1.159375438479,1.59236025175459,0.230439180411992,175.949839510771,16.661502154852,40,16.9109829796091,0.43,0.930666760056756,0.357530759129071,0.0356157274100736,9.572718676911,1.47785114587598,0.554751525358069,15.894138591681,0.737753676722643,0.72853175576361,0.00184438419180661,0.213353991380592,0.212246323277357,0.254695587932829,0.786629857805518,0.848416728231039,0.00147550735344529,0.00186651680210829,0.191021690949621,0.0127347793966414,0.0424492646554714,0.0333030948582769,0.019598783579172,0.161828652904162,0.261701588493603,0.797586509166447,0.311913811639518,30,54,0.126300956956122,1.5,15.1362881161569,0.9,44.7563765114049,3.42064294459765,0.639030718535961,0.477262307339971,11.1218077478054,0.496425486946247,0.49587188999469,1.90903144469609,0.477262307339971,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.153877709896277,0.495000355368206,112.055480555302,0.60438478216651,1.04468170175918,2521.28272111755,0.410629072708686,0.74611249819037,2.03476040052973,0.220380570908341,0.934957442292992,0.58,28.8119709638375,0.013,0.0238,0.0072,0.177,0.811,0.76,0.177784663793531,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0348436133585154,0.166842948645266,0.396627046344531,0.915500424616439,2.92453852994214,0.128691684295221,0.117724440490264,0.8872999889598,0.969641583857517,0.719919212663278,0.54884674229184,1.04332384323163
8,"MALE","European_ICRP_2002",65.5407159786276,0.757387805012156,1.03932574772831,0.223436796347082,176.584324153087,17.9043217459248,40,17.1268795250402,0.43,0.86162636671695,0.374560312167225,0.03380851089514,9.89528123393148,1.50050330263205,0.611873044042336,15.1536264364549,0.743553501480982,0.73425908271247,0.00185888375370246,0.208382713016301,0.206446498519018,0.247735798222821,0.792813920954097,0.85508652670313,0.00148710700296196,0.00188119035874689,0.185801848667116,0.0123867899111411,0.0412892997038035,0.0300798690863611,0.0213056586459991,0.14839417758505,0.340527864821399,0.783082452845478,0.186750779814592,30,54,0.139278350384086,1.5,15.2991685929876,0.9,44.3687857408243,3.52164347542464,1.65727315935766,0.479380900469553,37.2525664816583,0.808607783890191,0.93525107073165,1.91750747430721,0.479380900469553,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.122598642753471,0.427250045771589,96.5127162252401,0.678032793739877,0.991306283706216,2533.46235311006,0.415406274928262,0.692198463903681,2.28213727876575,0.235178849177861,0.941023041609409,0.58,28.4654752852258,0.013,0.0238,0.0072,0.177,0.811,0.76,0.176127571005434,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.036834257640429,0.159674436749683,0.385937583379921,0.930927991739546,2.79124387170826,0.124681273271915,0.420014406222969,0.882770891069868,0.970996226843676,1.18283088989485,1.10381835384703,1.20201846717043
9,"MALE","European_ICRP_2002",44.8613547824669,0.902530452918055,0.641026634737452,0.193452982528997,137.758329137227,12.5449268792499,40,15.2281966877394,0.43,0.61718787438446,0.290756473674184,0.0390970198052313,7.09892882942642,1.54449252097962,0.547435724096892,9.65744042345494,0.7250898537585,0.716026230586519,0.00181272463439625,0.2249101462415,0.2249101462415,0.2698921754898,0.77312705657,0.833853331822275,0.001450179707517,0.001834477330009,0.20241913161735,0.01349460877449,0.0449820292483,0.0349820038244298,0.0104280917608536,0.573648707480521,0.164501875562573,0.938496823922881,0.22866719186964,30,54,0.129988332819478,1.5,14.4496535523737,0.9,43.139523389567,3.23488752407185,0.702909929531808,0.433980215262522,9.6800778416738,2.20919781168667,1.31647441923592,1.73591068134257,0.433980215262522,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.144336474290947,0.455819369484967,392.648996642556,0.396174499245558,1.22171351567745,2505,0.343286581826805,0.828975635663371,1.6412262028733,0.275070994023567,0.733985751989543,0.58,19.3068079727721,0.013,0.0238,0.0072,0.177,0.811,0.76,0.209460877449001,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0357195693200552,0.082347161844502,0.508580139801473,0.691883354421198,1.71214314581873,0.207138911361336,0.1967603562716,1.04194963469433,1.03301134402601,0.480731323183783,1.2304694313668,1.25826956185016
