"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.00054790603,0.00025395042,0.0043690302
0,6,0.0048139864,0.0023994446,0.019620437
0,9,0.0120421415,0.0073933313,0.043407355
0,12,0.020098988,0.015182955,0.07318771
0,15,0.027657025,0.025272695,0.10697112
0,18,0.034168053,0.03706146,0.14327022
0,21,0.039528266,0.049998906,0.18098515
0,24,0.043815516,0.06362923,0.21929915
0,27,0.0471618,0.07759249,0.2576036
0,30,0.049702935,0.091611914,0.29544184
0,33,0.051562123,0.105478995,0.33247066
0,36,0.052846145,0.11903979,0.36843202
0,39,0.05364611,0.1321834,0.4031325
0,42,0.05403954,0.14483275,0.43642876
0,45,0.054092593,0.15693718,0.46821648
0,48,0.053862024,0.16846672,0.49842283
0,51,0.05339675,0.17940746,0.5270007
0,54,0.052739155,0.18975799,0.553925
0,57,0.051926035,0.19952641,0.579189
0,60,0.050989393,0.2087282,0.6028031
0,63,0.04995702,0.21738413,0.62479246
0,66,0.048852988,0.22551896,0.64519566
0,69,0.047698025,0.23316002,0.66406345
0,72,0.04650986,0.24033631,0.6814571
0,75,0.04530347,0.24707763,0.697447
0,78,0.044091403,0.2534138,0.7121107
0,81,0.042883977,0.25937426,0.72553104
0,84,0.041689526,0.2649875,0.7377945
0,87,0.04051464,0.2702808,0.74898916
0,90,0.039364394,0.27528006,0.75920296
0,93,0.038242538,0.2800094,0.768522
0,96,0.037151724,0.28449136,0.77702963
0,99,0.03609369,0.28874665,0.7848047
0,102,0.035069417,0.29279432,0.7919214
0,105,0.034079295,0.29665163,0.7984485
0,108,0.033123244,0.3003343,0.8044491
0,111,0.03220083,0.30385655,0.8099806
0,114,0.031311348,0.30723113,0.81509465
0,117,0.030453915,0.31046957,0.81983775
0,120,0.029627506,0.31358218,0.82425123
0,135,0.025921253,0.32754993,0.8425142
0,150,0.022821572,0.33942086,0.8564998
0,165,0.020204753,0.34971038,0.8678918
0,180,0.01797322,0.3587436,0.8775572
0,195,0.01605227,0.36674112,0.8859631
0,210,0.014384871,0.3738632,0.89338136
0,225,0.012927177,0.38023296,0.89998627
0,240,0.011645117,0.38594884,0.9059001
0,255,0.0105118705,0.3910919,0.91121584
