"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.12242252,0.021308472,0.022551736
0,6,0.17317449,0.09348037,0.097873725
0,9,0.102745384,0.16234583,0.16892421
0,12,0.06891015,0.20325907,0.21104927
0,15,0.053186215,0.22890797,0.23752293
0,18,0.045572255,0.24747978,0.25674504
0,21,0.041558955,0.26262143,0.27244937
0,24,0.0391546,0.2759742,0.286315
0,27,0.037489343,0.28829622,0.2991174
0,30,0.036179896,0.29994917,0.31122687
0,33,0.035054877,0.31111172,0.3228267
0,36,0.034035522,0.3218767,0.33401245
0,39,0.03308472,0.33229575,0.34483743
0,42,0.03218472,0.34239972,0.35533383
0,45,0.031325746,0.35221002,0.36552402
0,48,0.03050228,0.36174273,0.3754249
0,51,0.029711321,0.3710107,0.38504994
0,54,0.028950723,0.38002506,0.394411
0,57,0.028218592,0.38879624,0.40351894
0,60,0.027513405,0.3973339,0.41238394
0,63,0.026833933,0.4056469,0.42101532
0,66,0.026179023,0.4137438,0.42942202
0,69,0.025547562,0.42163265,0.43761253
0,72,0.024938488,0.42932126,0.4455949
0,75,0.024350801,0.43681696,0.4533769
0,78,0.023783576,0.44412684,0.46096584
0,81,0.023235934,0.45125762,0.46836877
0,84,0.022707041,0.45821574,0.47559237
0,87,0.022196101,0.46500733,0.48264307
0,90,0.021702344,0.47163835,0.48952702
0,93,0.02122505,0.47811437,0.49625003
0,96,0.020763522,0.48444077,0.50281775
0,99,0.020317102,0.4906228,0.50923556
0,102,0.019885156,0.4966653,0.51550853
0,105,0.019467086,0.5025731,0.5216416
0,108,0.019062316,0.5083507,0.52763957
0,111,0.018670302,0.5140023,0.5335069
0,114,0.018290522,0.5195323,0.5392479
0,117,0.017922478,0.5249446,0.5448667
0,120,0.017565694,0.530243,0.55036724
0,135,0.015935482,0.55514973,0.576225
0,150,0.014526769,0.5776996,0.5996366
0,165,0.013300234,0.59822196,0.6209443
0,180,0.0122243585,0.6169877,0.64042914
0,195,0.011273857,0.63422,0.6583228
0,210,0.010428518,0.6501033,0.6748167
0,225,0.009672075,0.6647908,0.6900701
0,240,0.008991316,0.67841196,0.7042171
0,255,0.008375438,0.6910762,0.7173714
0,270,0.007815582,0.7028774,0.7296303
0,285,0.0073044756,0.71389574,0.7410772
0,300,0.006836136,0.72420055,0.7517839
0,315,0.006405601,0.7338522,0.76181316
0,330,0.0060086893,0.74290377,0.77122
0,345,0.0056418353,0.7514025,0.7800535
0,360,0.0053019985,0.7593906,0.78835726
0,375,0.004986575,0.76690567,0.79617053
0,390,0.0046933233,0.77398175,0.8035285
0,405,0.0044202926,0.7806495,0.81046295
0,420,0.0041657677,0.786937,0.8170031
0,435,0.003928226,0.7928698,0.82317543
0,450,0.0037063167,0.7984715,0.82900435
0,465,0.0034988343,0.8037637,0.83451223
0,480,0.0033046964,0.8087662,0.8397198
0,495,0.0031229272,0.8134975,0.84464604
0,510,0.0029526353,0.8179747,0.8493088
0,525,0.0027930147,0.8222136,0.85372436
0,540,0.0026433163,0.82622904,0.8579082
0,555,0.0025028626,0.8300346,0.8618744
0,570,0.0023710236,0.83364326,0.86563635
0,585,0.0022472246,0.83706677,0.8692063
0,600,0.002130933,0.8403164,0.8725959
0,615,0.0020216575,0.8434025,0.8758158
0,630,0.001918942,0.84633476,0.8788762
0,645,0.0018223623,0.8491223,0.8817864
0,660,0.0017315274,0.85177356,0.8845553
0,675,0.0016460639,0.85429657,0.8871911
0,690,0.0015656328,0.85669875,0.88970155
0,705,0.0014899174,0.85898715,0.8920939
0,720,0.0014186049,0.8611684,0.8943751
0,735,0.0013514326,0.8632485,0.8965513
0,750,0.0012881326,0.8652333,0.89862865
0,765,0.0012284563,0.8671283,0.9006127
0,780,0.0011721879,0.8689385,0.90250874
0,795,0.001119111,0.8706686,0.9043216
0,810,0.0010690284,0.8723231,0.906056
0,825,0.0010217576,0.8739062,0.9077162
0,840,0.0009771257,0.8754218,0.9093064
0,855,0.00093497144,0.8768736,0.91083026
0,870,0.00089514296,0.8782651,0.9122914
0,885,0.0008574971,0.8795995,0.91369325
0,900,0.0008219031,0.8808799,0.915039
0,915,0.0007882338,0.88210917,0.9163315
0,930,0.00075637165,0.88329005,0.9175738
0,945,0.0007262095,0.884425,0.9187683
0,960,0.0006976429,0.8855165,0.9199176
0,975,0.0006705764,0.88656676,0.921024
0,990,0.000644921,0.88757795,0.9220897
0,1005,0.0006205921,0.88855195,0.92311674
0,1020,0.0005975113,0.8894907,0.9241071
0,1035,0.0005756048,0.890396,0.92506254
0,1050,0.00055480323,0.89126945,0.9259848
0,1065,0.00053504197,0.8921126,0.92687553
0,1080,0.0005162596,0.89292693,0.9277362
0,1095,0.00049839885,0.8937139,0.92856836
0,1110,0.0004814066,0.8944747,0.92937326
0,1125,0.00046523166,0.8952107,0.9301522
0,1140,0.0004498273,0.8959229,0.93090636
0,1155,0.0004351493,0.8966125,0.9316369
0,1170,0.00042115586,0.8972806,0.9323449
0,1185,0.00040780837,0.897928,0.9330314
0,1200,0.00039507027,0.89855576,0.9336973
0,1215,0.0003829072,0.8991647,0.9343435
0,1230,0.00037128714,0.8997556,0.9349709
0,1245,0.00036017972,0.9003293,0.9355803
0,1260,0.00034955665,0.90088654,0.93617237
0,1275,0.00033939123,0.901428,0.93674797
0,1290,0.00032965816,0.90195423,0.93730766
0,1305,0.00032033416,0.902466,0.93785214
0,1320,0.00031139702,0.9029638,0.938382
0,1335,0.00030282576,0.9034483,0.93889785
0,1350,0.0002946011,0.90391994,0.9394002
0,1365,0.0002867045,0.9043792,0.9398896
0,1380,0.0002791187,0.9048266,0.9403665
0,1395,0.00027182768,0.9052626,0.9408314
0,1410,0.00026481607,0.9056876,0.9412848
0,1425,0.00025806949,0.90610194,0.941727
0,1440,0.0002515744,0.9065061,0.94215846
1,0,0,0,0
1,3,0.09925611,0.027023597,0.028252052
1,6,0.14283873,0.11986643,0.12432864
1,9,0.08521796,0.20567024,0.21239439
1,12,0.05704986,0.25475278,0.2627076
1,15,0.04358852,0.28534696,0.2941223
1,18,0.03699408,0.30746508,0.31687677
1,21,0.033503033,0.3254588,0.33541584
1,24,0.031413205,0.34128356,0.35173553
1,27,0.029970378,0.35584432,0.36675912
1,30,0.028838672,0.3695738,0.3809282
1,33,0.027867608,0.38268578,0.39446092
1,36,0.026988022,0.39529175,0.4074714
1,39,0.026167417,0.407454,0.4200234
1,42,0.02538969,0.419211,0.43215653
1,45,0.024646504,0.430589,0.44389784
1,48,0.023933535,0.44160753,0.4552676
1,51,0.023247993,0.45228294,0.46628276
1,54,0.022587799,0.4626298,0.4769584
1,57,0.021951467,0.47266126,0.48730814
1,60,0.021337928,0.4823893,0.49734452
1,63,0.02074623,0.4918253,0.5070793
1,66,0.020175384,0.50098026,0.5165238
1,69,0.01962446,0.5098645,0.5256889
1,72,0.019092642,0.51848817,0.5345849
1,75,0.018579165,0.5268606,0.5432216
1,78,0.018083276,0.53499097,0.5516085
1,81,0.017604273,0.54288805,0.55975455
1,84,0.017141473,0.5505602,0.5676685
1,87,0.016694225,0.5580154,0.5753587
1,90,0.016261918,0.5652614,0.58283293
1,93,0.015843954,0.5723057,0.59009904
1,96,0.015439769,0.5791552,0.5971643
1,99,0.01504882,0.5858168,0.6040356
1,102,0.014670589,0.5922971,0.61071986
1,105,0.014304585,0.5986023,0.61722356
1,108,0.013950331,0.6047384,0.6235528
1,111,0.013607378,0.6107112,0.6297136
1,114,0.013275291,0.6165263,0.6357117
1,117,0.012953654,0.622189,0.6415526
1,120,0.012642072,0.6277044,0.64724165
1,135,0.011222166,0.65323764,0.6735788
1,150,0.010002855,0.67575,0.69680053
1,165,0.008950188,0.695692,0.7173714
1,180,0.0080366125,0.71343535,0.7356751
1,195,0.0072397576,0.72928774,0.75202894
1,210,0.0065413667,0.7435053,0.76669705
1,225,0.0059264614,0.7563022,0.7799004
1,240,0.005382706,0.7678586,0.79182476
1,255,0.004899918,0.7783267,0.8026271
1,270,0.0044696634,0.78783536,0.81244034
1,285,0.0040849107,0.79649454,0.8213779
1,300,0.0037397612,0.8043988,0.82953715
1,315,0.0034292424,0.81162953,0.83700216
1,330,0.003149147,0.8182574,0.8438458
1,345,0.0028958975,0.8243439,0.85013133
1,360,0.0026664333,0.8299428,0.85591435
1,375,0.0024581205,0.8351014,0.8612436
1,390,0.0022686813,0.8398616,0.8661622
1,405,0.0020961373,0.84426033,0.8707082
1,420,0.0019387618,0.84833056,0.8749157
1,435,0.0017950408,0.8521017,0.878815
1,450,0.0016636399,0.8556001,0.88243324
1,465,0.0015433783,0.85884947,0.8857948
1,480,0.0014332103,0.86187106,0.8889216
1,495,0.0013322012,0.8646841,0.89183354
1,510,0.0012395168,0.867306,0.8945485
1,525,0.001154407,0.8697525,0.89708275
1,540,0.0010761954,0.8720381,0.8994511
1,555,0.0010042776,0.87417567,0.90166694
1,570,0.0009381044,0.87617713,0.90374243
1,585,0.0008771822,0.87805325,0.9056888
1,600,0.0008210628,0.87981385,0.9075161
1,615,0.00076933845,0.88146794,0.9092336
1,630,0.00072163815,0.88302374,0.91084987
1,645,0.00067762466,0.8844888,0.9123726
1,660,0.00063698913,0.88587004,0.9138089
1,675,0.0005994516,0.8871738,0.9151653
1,690,0.00056475616,0.88840574,0.9164477
1,705,0.0005326691,0.88957137,0.91766167
1,720,0.0005029768,0.89067537,0.91881216
1,735,0.00047548497,0.8917223,0.91990376
1,750,0.00045001443,0.89271635,0.92094076
1,765,0.00042640013,0.89366114,0.92192703
1,780,0.00040449592,0.8945602,0.92286605
1,795,0.0003841595,0.89541674,0.92376125
1,810,0.0003652664,0.89623374,0.9246156
1,825,0.00034770236,0.8970139,0.9254319
1,840,0.00033135663,0.8977597,0.9262128
1,855,0.00031613733,0.8984734,0.9269605
1,870,0.0003019525,0.89915717,0.92767733
1,885,0.0002887206,0.899813,0.9283652
1,900,0.0002763684,0.90044254,0.929026
1,915,0.00026482658,0.9010476,0.9296614
1,930,0.00025403284,0.9016296,0.93027294
1,945,0.00024392919,0.90218997,0.9308622
1,960,0.00023446219,0.90273005,0.93143034
1,975,0.00022558375,0.903251,0.93197876
1,990,0.00021724784,0.90375394,0.9325085
1,1005,0.00020941361,0.9042399,0.9330207
1,1020,0.00020204323,0.9047099,0.9335163
1,1035,0.00019510095,0.9051648,0.9339962
1,1050,0.0001885557,0.9056054,0.9344613
1,1065,0.00018237754,0.9060324,0.9349123
1,1080,0.00017653943,0.9064466,0.93535006
1,1095,0.00017101679,0.9068486,0.9357751
1,1110,0.00016578658,0.9072391,0.93618816
1,1125,0.00016082797,0.9076185,0.9365897
1,1140,0.0001561215,0.9079875,0.9369804
1,1155,0.00015164922,0.9083465,0.9373607
1,1170,0.00014739494,0.90869594,0.937731
1,1185,0.00014334318,0.9090363,0.93809193
1,1200,0.00013948014,0.9093679,0.93844366
1,1215,0.00013579303,0.9096912,0.93878675
1,1230,0.00013226982,0.9100065,0.9391215
1,1245,0.00012889979,0.91031414,0.9394482
1,1260,0.00012567276,0.91061443,0.93976724
1,1275,0.00012257947,0.9109076,0.94007885
1,1290,0.00011961149,0.911194,0.9403834
1,1305,0.000116760864,0.9114739,0.94068104
1,1320,0.00011402031,0.9117474,0.94097203
1,1335,0.00011138299,0.91201484,0.94125664
1,1350,0.00010884265,0.9122764,0.9415351
1,1365,0.00010639373,0.91253227,0.94180757
1,1380,0.00010403081,0.9127826,0.9420743
1,1395,0.00010174891,0.91302764,0.9423354
1,1410,9.954334E-05,0.9132675,0.94259113
1,1425,9.740977E-05,0.9135024,0.94284153
1,1440,9.534464E-05,0.9137324,0.94308686
2,0,0,0,0
2,3,0.12333531,0.019911133,0.021172853
2,6,0.16702254,0.08675591,0.09094771
2,9,0.09902761,0.14633615,0.15239076
2,12,0.0679216,0.1798748,0.1869856
2,15,0.05386154,0.20168686,0.20955165
2,18,0.04725321,0.21838288,0.22686909
2,21,0.04380261,0.23267072,0.24171324
2,24,0.041704457,0.24570763,0.25526968
2,27,0.04020531,0.258003,0.26806027
2,30,0.03898762,0.26978886,0.28032282
2,33,0.03791483,0.28117642,0.29217145
2,36,0.03692645,0.29222327,0.3036655
2,39,0.035995822,0.30296198,0.31483856
2,42,0.035109676,0.31341422,0.32571313
2,45,0.034260783,0.32359624,0.33630612
2,48,0.033445667,0.33352077,0.34663084
2,51,0.032661907,0.3431991,0.35669902
