"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.00033723871,0.00044016071,0.0059377574
0,6,0.0038814563,0.004590091,0.026660569
0,9,0.010823311,0.0142526105,0.05928985
0,12,0.01886008,0.028827935,0.100101225
0,15,0.026314639,0.046967413,0.14594074
0,18,0.032447167,0.067292795,0.19437668
0,21,0.03712413,0.08866721,0.24362609
0,24,0.040482923,0.11023496,0.29240975
0,27,0.0427407,0.13138454,0.339822
0,30,0.04411357,0.15169844,0.38523245
0,33,0.044790182,0.17090778,0.42821494
0,36,0.044927116,0.18885517,0.46849632
0,39,0.044651706,0.20546566,0.50591993
0,42,0.044066668,0.2207243,0.5404189
0,45,0.04325458,0.23465894,0.5719966
0,48,0.042281665,0.24732704,0.60071164
0,51,0.041200794,0.2588055,0.6266659
0,54,0.040053915,0.26918307,0.6499948
0,57,0.03887392,0.27855444,0.6708589
0,60,0.0376862,0.2870159,0.68943655
0,63,0.036509972,0.29466182,0.7059168
0,66,0.03535931,0.30158263,0.7204937
0,69,0.03424408,0.307863,0.7333609
0,72,0.033170737,0.31358084,0.7447073
0,75,0.032143034,0.31880692,0.754713
0,78,0.031162614,0.32360452,0.76354676
0,81,0.030229548,0.32802972,0.7713637
0,84,0.02934277,0.3321316,0.7783039
0,87,0.02850045,0.33595282,0.78449255
0,90,0.027700279,0.33953014,0.79003936
0,93,0.0269397,0.34289506,0.7950399
0,96,0.026216079,0.3460745,0.7995763
0,99,0.025526812,0.3490912,0.8037186
0,102,0.024869414,0.3519645,0.8075262
0,105,0.024241557,0.3547108,0.811049
0,108,0.023641093,0.35734388,0.81432885
0,111,0.02306606,0.3598754,0.81740075
0,114,0.022514684,0.3623153,0.8202939
0,117,0.021985361,0.36467195,0.8230324
0,120,0.021476643,0.36695248,0.82563645
0,135,0.019200722,0.3774006,0.83713806
0,150,0.017288702,0.38658604,0.8468996
0,165,0.015659995,0.39479104,0.85549515
0,180,0.014258039,0.40219176,0.86320513
0,195,0.013040581,0.40891296,0.8701925
0,210,0.011974909,0.41505018,0.87656796
0,225,0.011035214,0.42067972,0.8824146
0,240,0.010200902,0.42586386,0.88779837
0,255,0.009455427,0.43065423,0.8927734
0,270,0.008785415,0.43509406,0.89738464
0,285,0.00818,0.43921974,0.90167
0,300,0.007630305,0.44306234,0.90566164
0,315,0.007129033,0.44664845,0.9093872
0,330,0.0066701504,0.45000106,0.9128705
0,345,0.0062486385,0.4531402,0.9161325
0,360,0.005860294,0.45608348,0.91919124
0,375,0.005501558,0.4588464,0.922063
0,390,0.0051694084,0.46144283,0.924762
0,405,0.0048612636,0.4638851,0.92730117
0,420,0.0045748916,0.46618438,0.92969203
0,435,0.0043083485,0.46835077,0.9319451
0,450,0.004059934,0.4703934,0.93406975
0,465,0.0038281505,0.47232062,0.93607473
0,480,0.0036116662,0.47414014,0.9379681
0,495,0.003409294,0.47585902,0.939757
0,510,0.0032199672,0.47748372,0.9414483
0,525,0.0030427242,0.47902027,0.9430481
0,540,0.0028766885,0.48047423,0.9445623
0,555,0.0027210652,0.48185077,0.9459962
0,570,0.0025751304,0.48315468,0.9473548
0,585,0.0024382195,0.4843904,0.94864273
0,600,0.00230972,0.48556215,0.9498642
0,615,0.0021890667,0.48667377,0.95102334
0,630,0.002075739,0.48772886,0.9521239
0,645,0.0019692548,0.48873085,0.9531693
0,660,0.0018691678,0.48968288,0.9541629
0,675,0.0017750625,0.4905879,0.95510775
0,690,0.0016865534,0.49144867,0.9560067
0,705,0.0016032815,0.49226782,0.95686245
0,720,0.001524912,0.49304774,0.9576775
0,735,0.001451134,0.49379072,0.9584542
0,750,0.0013816567,0.49449885,0.9591948
0,765,0.0013162097,0.4951742,0.95990133
0,780,0.0012545404,0.4958186,0.96057576
0,795,0.0011964121,0.4964338,0.96121985
0,810,0.0011416042,0.49702144,0.9618353
0,825,0.0010899113,0.49758306,0.96242386
0,840,0.0010411375,0.49812016,0.9629869
0,855,0.0009951046,0.49863407,0.96352583
0,870,0.00095164264,0.49912608,0.964042
0,885,0.0009105911,0.49959737,0.96453667
0,900,0.0008718054,0.5000491,0.965011
0,915,0.00083514495,0.50048226,0.9654661
0,930,0.0008004803,0.50089794,0.965903
0,945,0.00076769106,0.50129706,0.9663226
0,960,0.0007366631,0.5016804,0.9667259
0,975,0.0007072907,0.50204885,0.9671137
0,990,0.000679474,0.50240326,0.9674868
0,1005,0.00065311923,0.5027442,0.967846
0,1020,0.0006281397,0.5030725,0.968192
0,1035,0.00060445245,0.5033887,0.9685254
0,1050,0.00058198086,0.5036935,0.9688469
0,1065,0.00056065305,0.50398743,0.96915716
0,1080,0.00054040074,0.50427103,0.96945655
0,1095,0.0005211613,0.5045448,0.96974576
0,1110,0.0005028749,0.5048092,0.97002524
0,1125,0.00048548586,0.5050647,0.9702954
0,1140,0.00046894234,0.5053118,0.9705568
0,1155,0.00045319519,0.50555074,0.9708097
0,1170,0.00043819853,0.50578207,0.9710546
0,1185,0.00042390925,0.506006,0.97129184
0,1200,0.00041028668,0.5062229,0.97152174
0,1215,0.0003972934,0.5064332,0.97174466
0,1230,0.0003848935,0.50663704,0.9719609
0,1245,0.00037305354,0.5068348,0.97217077
0,1260,0.00036174207,0.50702673,0.97237456
0,1275,0.0003509292,0.50721306,0.97257245
0,1290,0.00034058793,0.507394,0.97276473
0,1305,0.0003306924,0.50756985,0.9729517
0,1320,0.0003212182,0.5077408,0.9731335
0,1335,0.00031214167,0.50790703,0.97331035
0,1350,0.000303441,0.50806874,0.97348243
0,1365,0.0002950965,0.50822616,0.97365
0,1380,0.00028709028,0.50837934,0.9738132
0,1395,0.0002794049,0.50852853,0.9739722
0,1410,0.00027202102,0.5086739,0.9741271
0,1425,0.00026492222,0.5088155,0.97427815
0,1440,0.00025809373,0.5089536,0.97442544
1,0,0,0,0
1,3,8.939264E-05,0.00015840452,0.0033607746
1,6,0.0011301086,0.0017582945,0.01658951
1,9,0.0033250435,0.0057271887,0.03876221
1,12,0.006103202,0.012114454,0.06778111
1,15,0.008976723,0.020601975,0.10171299
1,18,0.011655601,0.030740386,0.13898037
1,21,0.014009329,0.042078506,0.17835322
1,24,0.016003273,0.05421746,0.21888284
1,27,0.017649202,0.06682421,0.25983527
1,30,0.018977145,0.07962884,0.3006393
1,33,0.020022092,0.09241686,0.34084848
1,36,0.020818459,0.10502081,0.38011342
1,39,0.02139811,0.11731248,0.41816166
1,42,0.02178987,0.12919614,0.45478293
