"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate","CYP3A4|Ontogeny factor","CYP3A4|Ontogeny factor GI","UGT1A4|Ontogeny factor","UGT1A4|Ontogeny factor GI"
0,"MALE","European_ICRP_2002",81.6244343705033,1.2562850391183,1.02269902760584,0.266414465143744,199.220086186136,39.4745354351935,40,17.5037536214238,0.47,0.989876539115557,0.429423563958813,0.0269235704257674,11.816297370544,1.47558518006283,0.514630833328266,23.4306004857273,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0216021602680596,0.0375916036393137,0.0793704335489265,0.455141335550891,0.622372173702938,0.636085050378108,30,54,0.0998163118718123,1.5,15.0955001741291,0.9,43.8475251037349,2.860080685277,1.54054563103559,0.5,8.2906224910677,0.56150177658266,1.21907138765844,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.185342868084012,0.393006137412344,107.852677558894,0.718487372095354,0.898001791429535,2652,0.428280881213745,0.607207370584361,2.64924222604993,0.164120322498627,0.996197006263938,0.58,32.4725270836692,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0331734867149222,0.147451378166214,0.347537186630481,0.892649287317311,3.52588630708675,0.084287133346326,0.337768831579931,0.913147774304763,1.21698714042478,0.939913724933707,0.787807795387411,0.768295565751633
1,"MALE","European_ICRP_2002",47.5640845445503,0.965609702794872,0.826194395829423,0.190358940566439,144.518509048771,22.7917119594252,40,15.8071266022427,0.445972373198084,0.850350219068313,0.369504548766694,0.0330266126747368,8.88084464406867,1.50268142765713,0.55555815542107,5.52118678972277,0.766361322477318,0.756781805946351,0.00191590330619329,0.188833152162299,0.183638677522682,0.220366413027219,0.81713276009144,0.881315520848915,0.00153272264495464,0.00193889414586761,0.165274809770414,0.0110183206513609,0.0367277355045365,0.0256577092598349,0.0268405407096149,0.117628359259981,0.179889593165555,0.800167816254915,0.361994948567845,30,54,0.110242651447436,1.5,15.288549121347,0.9,43.3137699707619,3.19876852409941,1.13057112631538,0.4877122716535,17.4459102187684,1.02746493484921,1.13960276233449,1.95083947556328,0.4877122716535,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.143195160246009,0.394396103519501,112.169967181577,0.579312769596586,1.00537769024505,2581.35877720237,0.374263226097447,0.650023988747853,1.43693732416591,0.207499349893339,1.53277033450859,0.58,22.1106707010994,0.013,0.0238,0.0072,0.177,0.811,0.76,0.169611050720766,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0339105848555867,0.140232452705161,0.393037414195699,0.87591052934103,2.46697055891888,0.116950802634089,0.210528776144699,0.901109955486227,1.42032463848118,0.877298393255146,0.457099906451028,0.715759912843684
2,"MALE","European_ICRP_2002",54.6287411386221,1.47989243262218,0.504586205124527,0.222631222153251,154.17956371211,23.4637284294999,40,15.6645369389229,0.448212428098333,0.855614520791682,0.368727321851411,0.0309730455805654,8.67091130140756,1.51008587364632,0.556151417148297,7.21322763854112,0.769497399337666,0.759878681845945,0.00192374349834417,0.186145086282,0.180502600662334,0.216603120794801,0.820476602043786,0.884922009238316,0.00153899479867533,0.0019468284203243,0.1624523405961,0.01083015603974,0.0361005201324668,0.0280576583124729,0.0286187895157992,0.11700790618845,0.381368183742721,0.820293528615035,0.461442450356105,30,54,0.105699451500958,1.5,14.9777751744253,0.9,45.2479267563832,3.68141342909456,0.662702775840904,0.488857835729487,5.32648825230693,0.492361104708319,0.869629131611783,1.95542262788919,0.488857835729487,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.167260941088804,0.413201829257858,146.440198308648,0.618920972506543,0.926944115902366,2587.9445386091,0.316735884259387,0.66979350238643,2.5557145547877,0.212140955082593,1.0562301830246,0.58,26.3860990810039,0.013,0.0238,0.0072,0.177,0.811,0.76,0.168715028760667,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0351401888753554,0.114759582016697,0.36962846108939,0.87873832692071,2.70953481632569,0.123438737515873,0.334750716835355,0.787044321793167,1.07637316751928,1.89786736666566,0.772335901597249,0.374270980254267
3,"MALE","European_ICRP_2002",65.1741390454059,1.13998351180671,1.14773502130366,0.21085451857867,178.409585596492,30.4292689591782,40,17.5811061160752,0.47,0.961715947198395,0.391376592066948,0.0283254919967971,11.8449220675905,1.46392021276671,0.548975342868896,13.1841159280133,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0211791446867433,0.0390385806949639,0.08637264755896,0.400437659804854,0.611909924718999,0.408553466951496,30,54,0.0803042770121437,1.5,14.8796113856952,0.9,44.4583132801228,3.23308269432257,1.20071462634854,0.5,12.8007038878828,1.27818302520989,1.57065351922394,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.164002207209915,0.402435531662967,107.853632885857,0.646484438023854,0.935860596147566,2652,0.342532242918971,0.552998443648766,2.88081668281739,0.175089421061314,1.20592157201181,0.58,26.0382722201555,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0338024390083761,0.191012864494878,0.377052040332934,1.04384171432283,3.76876690187646,0.0842162468840585,0.198407746487169,0.767905461467048,1.1587276388595,0.752844343221858,1.02404710725682,3.31212664181063
4,"MALE","European_ICRP_2002",68.7756127206737,1.21503761842226,1.03570104074539,0.210892392674246,185.745396070386,33.3939659750992,40,18.058712212365,0.47,0.947026649163398,0.417123570618688,0.027800783943415,12.0950649995849,1.48504256342867,0.492545737579148,9.54885726022895,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0219864876602721,0.0429164502977311,0.0881345180325893,0.404953623388973,0.589972139912454,0.463795660486656,30,54,0.0545982147252818,1.5,15.1535476414524,0.9,45.1670214163752,2.82567629707614,1.67602977069307,0.5,9.91378402844275,2.22377116452953,0.893080931089594,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.192026628204128,0.373153402265449,206.615941448526,0.662830852121587,0.928695466767591,2652,0.305823351746202,0.622364298576843,1.85544855580885,0.180443413504267,1.01011042479529,0.58,33.9369502008228,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0325090981182779,0.288593612201997,0.350973168716946,1.0899317486125,3.7687030782401,0.0875285755768625,0.260413490922298,0.831063185012603,1.04579490570034,1.01365348999784,0.834742236868697,0.545242171571254
5,"MALE","European_ICRP_2002",60.7072464911953,0.80288270671632,1.6168088327642,0.203613792948467,170.64204145878,24.1564322841151,40,17.2669913096579,0.45052144094705,0.913932813090151,0.42405613448844,0.0318310876946821,10.7882719134797,1.62399401970409,0.544442417412907,8.68831297706617,0.77273001732587,0.763070892109297,0.00193182504331468,0.18337427086354,0.17726998267413,0.212723979208956,0.823923380973709,0.888639519924751,0.00154546003465174,0.00195500694383445,0.159542984406717,0.0106361989604478,0.0354539965348259,0.0257360456079065,0.0327311719777227,0.113472005611312,0.413013233208994,0.722131935710186,0.382891025316384,30,54,0.0847927582053078,1.5,15.2793665075328,0.9,43.3222969630818,3.32671127762195,0.378794671430857,0.490038664900322,21.1598687827378,1.06993278267704,1.62856731554827,1.96014686817766,0.490038664900322,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.125685245701124,0.415746860925563,273.264127320735,0.563225434014277,0.940826260041572,2594.73303638433,0.311324800795499,0.623956555033962,2.75223615334347,0.21295105883503,1.04491764925152,0.58,28.3167453456268,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16779142362118,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0352702072179211,0.214366409205609,0.368557751552743,1.00137779133572,2.98761753201636,0.0994897023687119,0.122546841573267,0.839483853888018,1.3160881401602,0.420794233412423,1.03191839180567,0.673387356269776
6,"MALE","European_ICRP_2002",93.8711974133961,0.948361377858258,0.857609204370666,0.283068241874073,217.913389960079,36.1953499150441,40,18.2104469509411,0.47,0.970520847616746,0.452630711551425,0.0273649228106749,12.6399289347137,1.55088031958123,0.526185535432683,31.2800199639657,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0223473165986495,0.0389991432525882,0.0844630588822177,0.586798842747748,0.582110390693649,0.30037699094756,30,54,0.068228590521379,1.5,14.8058139242737,0.9,43.7934056709172,2.91020589884832,1.42747065491716,0.5,13.1023915560735,0.616561695506364,1.27064396441081,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.139602476973362,0.3528143146893,54.7554551909484,0.573197865946464,0.955925231102512,2652,0.354009281275131,0.649059747269061,2.66942307163268,0.192672773771394,1.22071285194067,0.58,35.1922112675383,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0346046735326907,0.219938636350429,0.351546841384479,0.96288732723405,4.54230517744396,0.086410246414332,0.176753702684339,0.966704357400707,1.28639414634554,0.759242038427674,0.387837511823756,1.05712068300814
7,"MALE","European_ICRP_2002",59.5116066583679,1.10958708052442,1.64742779331284,0.218749378954326,165.128480539197,22.1951815403044,40,16.4940544254118,0.443983938467681,0.746116667536064,0.390163794231965,0.0298372743550475,9.76233103820641,1.48452088835705,0.523666423389062,7.92507676196854,0.763577513854754,0.75403279493157,0.00190894378463688,0.191219273838782,0.186422486145246,0.223706983374295,0.814164524147631,0.878114140932967,0.00152715502770951,0.00193185111005253,0.167780237530721,0.0111853491687148,0.0372844972290492,0.0276853381765952,0.0261145401706483,0.126150363613703,0.403424266022313,0.790611687901004,0.32147491670794,30,54,0.145810721768411,1.5,15.529630518348,0.9,44.9005772949464,3.52968797493438,0.686650016209621,0.486695386132372,9.29870885854925,0.454915481083105,0.909449883422718,1.94677113810488,0.486695386132372,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.17395012981645,0.442156399289738,164.088424781134,0.609660143962764,1.03856881888668,2575.51277909498,0.248672983151876,0.656129184809887,3.32973597005822,0.220999387773681,1.20603133800447,0.58,28.730217962691,0.013,0.0238,0.0072,0.177,0.811,0.76,0.170406424612927,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0375179934179421,0.193247475086547,0.355139488549504,0.925553854163157,2.83007213249544,0.115216457221015,0.205241795737014,0.887239954072342,0.79019489296992,1.08884633261007,2.44179056932169,0.941475210330097
8,"MALE","European_ICRP_2002",60.9528282368314,1.03478668653093,0.723531439854102,0.207496067504223,170.353226773579,21.5882990237271,40,17.1392571887423,0.441960996745757,0.935883982188404,0.396481539678829,0.03227596455453,10.2075817091234,1.60460290569983,0.518191077645762,8.72097147991372,0.76074539544406,0.751236078001009,0.00190186348861015,0.193646803905092,0.18925460455594,0.227105525467128,0.811144777892229,0.874857204760669,0.00152149079088812,0.00192468585047347,0.170329144100346,0.0113552762733564,0.037850920911188,0.0286569628061649,0.0266994087269526,0.131324705025168,0.26028346387031,0.762765639746378,0.466752570531418,30,54,0.10378963932964,1.5,15.2528403829982,0.9,45.5653362013062,3.23388663923445,0.728217630516644,0.48566085373578,16.5725711953475,0.589843307992218,2.04427528063291,1.94263219934182,0.48566085373578,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.145656978463894,0.429016562385956,44.9079553765026,0.658452010994394,1.01860070253208,2569.56533043253,0.441760232769044,0.678700943026111,2.30156765900234,0.211100486008648,0.842161357410698,0.58,29.7075876311395,0.013,0.0238,0.0072,0.177,0.811,0.76,0.171215601301697,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0331864566096133,0.120074558972502,0.397717752741625,0.900110655698486,3.01003574756434,0.121790693570259,0.206164345083368,0.769421441259967,1.11261599297187,0.850253383020099,0.55384971105244,1.34171880913513
9,"MALE","European_ICRP_2002",68.6220211705679,0.882201368452807,1.43659665130947,0.237664484734452,179.975750198563,39.7353410347064,40,16.9921999064188,0.47,0.926729290473059,0.419177297763405,0.028041146086918,11.1886379828605,1.51231125142929,0.516199672443924,17.3088013575203,0.8,0.79,0.002,0.16,0.15,0.18,0.853,0.92,0.0016,0.002024,0.135,0.00899999999999998,0.03,0.0215855808282974,0.042350675763265,0.08335306510034,0.450476877263766,0.657824827009278,0.3892597549296,30,54,0.127043791491314,1.5,15.4065418985422,0.9,43.4349296840867,2.84555690912889,1.00333991880414,0.5,15.2858403130611,1.37653984004801,0.675628036356273,2,0.5,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.179485723326344,0.383112070026238,145.361350001031,0.789668836082137,0.918001178967976,2652,0.33453688547646,0.585672952109622,2.0409246097935,0.161305952228332,1.24110814762326,0.58,26.8996700332624,0.013,0.0238,0.0072,0.177,0.811,0.76,0.16,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0373271517003588,0.210095484938465,0.360653278867384,0.847452220933424,3.50808624919812,0.0889099511627224,0.333248491930575,0.866587985608433,1.06301882672877,1.16628236410705,0.591450188866796,0.505478856706027
