"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.47995877,0.042032298,0.044073164
0,6,0.49699718,0.16303675,0.16942982
0,9,0.25878012,0.25474098,0.26369727
0,12,0.18621919,0.3028963,0.31327784
0,15,0.15651087,0.3346328,0.34603843
0,18,0.14123681,0.3596625,0.37191913
0,21,0.13127853,0.3814379,0.39445272
0,24,0.12352404,0.401262,0.4149734
0,27,0.11686161,0.41967833,0.43403867
0,30,0.11087134,0.4369504,0.4519195
0,33,0.10537629,0.4532329,0.46877554
0,36,0.100287445,0.46863398,0.4847185
0,39,0.09555187,0.483237,0.49983484
0,42,0.09113227,0.49711066,0.5141956
0,45,0.08699753,0.5103139,0.5278621
0,48,0.08312074,0.52289844,0.5408876
0,51,0.07947967,0.5349087,0.55331856
0,54,0.07605532,0.54638416,0.56519556
0,57,0.07283015,0.5573599,0.5765552
0,60,0.06978821,0.56786746,0.5874302
0,63,0.0669152,0.5779355,0.5978501
0,66,0.06419829,0.5875898,0.60784173
0,69,0.06162604,0.59685373,0.61742926
0,72,0.059188124,0.6057487,0.6266349
0,75,0.05687517,0.61429423,0.6354789
0,78,0.054678567,0.6225084,0.64398
0,81,0.05259052,0.630408,0.6521555
0,84,0.050603874,0.63800836,0.6600214
0,87,0.04871216,0.645324,0.66759276
0,90,0.04690943,0.65236837,0.67488337
0,93,0.045190208,0.659154,0.6819063
0,96,0.043549437,0.6656927,0.6886737
0,99,0.041982464,0.67199546,0.69519705
0,102,0.040485002,0.67807275,0.7014872
0,105,0.03905309,0.68393433,0.70755416
0,108,0.03768307,0.68958956,0.71340764
0,111,0.036371537,0.6950471,0.71905667
0,114,0.03511534,0.7003153,0.7245098
0,117,0.03391155,0.70540196,0.72977513
0,120,0.032757405,0.7103146,0.7348605
