"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate","CYP3A4|Ontogeny factor","CYP3A4|Ontogeny factor GI","UGT1A4|Ontogeny factor","UGT1A4|Ontogeny factor GI"
0,"MALE","European_ICRP_2002",18.6126361662166,1.14549772068086,0.852985995999997,0.144840815565024,76.5580055703677,5.17563901803253,40,11.3359641349664,0.37,0.263484514187671,0.105037550761909,0.0574891785772904,3.10137173911863,1.30077538847482,0.68753718290624,4.30977038230473,0.604215336432781,0.596662644727371,0.00151053834108195,0.345784663567219,0.345784663562395,0.414941596274874,0.644244602471453,0.694847636897698,0.00120843067286556,0.00152866480117494,0.311206197206155,0.0207470798137437,0.069156932712479,0.0334134796406324,0.00219288494510016,0.897389919098973,0.117242643264244,1.05694958808929,0.157482016911466,30,54,0.140774950494294,1.5,15.2628400497345,0.9,44.145365182136,3.45032621907403,0.887537054909106,0.31255417973914,8.44643280762576,0.823510609445195,1.00385548608597,1.2501781240687,0.31255417973914,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0582892483706455,0.586619710782428,126.074935980508,0.248369024287126,1.3398254725969,2505,0.141240026592282,0.978347715539306,0.68194570743872,0.282642351792608,0.213251462489881,0.58,6.7910080970787,0.013,0.0238,0.0072,0.177,0.811,0.76,0.27859488785574,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0342472777830592,0.0683898994581808,0.721554718015035,0.301738992214924,0.69825460459247,0.260447642240731,0.0527919837251516,1.25355706753279,1.45006576056649,0.847543555805286,1.00297227596451,1.5940606089292
1,"MALE","European_ICRP_2002",19.487622642589,0.747115255822294,0.672380791613487,0.159844874608906,77.3128890891095,5.85003493905535,40,11.0415507531268,0.37,0.262882091447555,0.131381369238649,0.0559556747739331,3.04030540524524,1.28886398119803,0.648311376778483,4.1292392348827,0.620400838537328,0.612645828055612,0.00155100209634332,0.329599161462672,0.329599161458522,0.395518993750226,0.661502394090426,0.713460964317927,0.00124080167707466,0.00156961412149944,0.29663924531267,0.0197759496875113,0.0659198322917043,0.0340329861405871,0.00210258851128237,0.937312824754361,0.116089910274461,1.25000110095671,0.102237967636868,30,54,0.123957969386054,1.5,15.0616574006305,0.9,43.8068658358082,3.47658336542594,0.814583575739272,0.323666875725754,27.1377288331405,0.677527103017032,1.15111457523075,1.29463430318253,0.323666875725754,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0707025907642549,0.600311059208472,57.2572278843378,0.244905299656794,1.31255757290589,2505,0.166204090381068,0.918225918407939,0.520619157212232,0.285568145045003,0.339597454221999,0.58,7.95012881426694,0.013,0.0238,0.0072,0.177,0.811,0.76,0.273199720487557,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0345554833841268,0.0507453683027911,0.653343614962109,0.285814738570646,0.593707483411881,0.254948056267443,0.192095097365579,1.08573113974597,0.814090330752938,0.796988255799524,0.658995693530717,1.32658799718438
2,"MALE","European_ICRP_2002",15.7239451732565,0.908191863271324,0.96911329059072,0.161311666710697,65.6692613618486,3.54071018730323,40,9.87297122358329,0.37,0.200374048457789,0.0888454871633354,0.051476071162342,2.38575388452215,1.20665471929863,0.809455325741083,3.68610293128777,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0278547722506018,0.0018608474779866,0.623365994714792,0.0711422744866514,1.03259020074348,0.121569931703861,30,54,0.0736298555921045,1.5,14.4635731432091,0.9,44.6818472848879,3.02803241788441,0.853051196545698,0.27545789501492,6.13686072520998,0.361368515184765,1.27024800656354,1.10180617295781,0.27545789501492,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0434192997969549,0.539509600637255,133.414214741062,0.213433690974605,1.26797831190967,2451.00627693022,0.102094917588973,0.93428317562699,0.850809610849451,0.246001278837337,0.203257019473821,0.58,5.5991863162034,0.013,0.0238,0.0072,0.204595544534971,0.814652728361057,0.763423025344517,0.294592898126968,0.022,0.0049,0.0078,0.0042,0.0793558144766011,0.219622335941494,0.668999651157169,0.763423025344517,0.034045248336754,0.0364765530161652,0.666531604127874,0.217174450467228,0.600625688524753,0.200439974327072,0.0951635019629772,1.03833826884646,1.18183430626886,0.497961143044594,1.12718253845659,0.835564058178365
3,"MALE","European_ICRP_2002",13.6613431478848,0.981894327854781,0.887420842181893,0.162633446963657,58.9759599789188,2.64093187853737,40,9.16519620615403,0.37,0.185938779526015,0.0662377215098878,0.0510825071994162,2.06478191240958,1.21080632778572,1.0809439468064,3.93028578403373,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0225060258851165,0.00195405531596937,0.579696114175286,0.0805440669239542,0.85975130712575,0.180547099797692,30,54,0.0817156345894881,1.5,15.0003606091814,0.9,44.0461622233498,2.87103504924304,1.08076659562305,0.25436934090322,11.4163976349221,1.64946152454123,0.925029594167984,1.01746095429409,0.25436934090322,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0460444853774621,0.598281351267446,85.4301725237394,0.161235183339947,1.06658783826194,2417.71447950588,0.0647307428914368,0.846816539460386,0.520591626595448,0.222091079359081,0.19150794829986,0.58,4.12341720918185,0.013,0.0238,0.0072,0.22161058306612,0.81690495113305,0.765533616351564,0.303590681214626,0.022,0.0049,0.0078,0.0042,0.0795752048575967,0.237887066568152,0.670849195381765,0.765533616351564,0.0341157133076365,0.0454212042198039,0.513874681238452,0.179788723601882,0.511644116878707,0.184095377352445,0.095866160195812,0.913553909726676,0.829013696974267,0.56934833144334,1.57843302366711,0.608294480872918
4,"MALE","European_ICRP_2002",20.2845828570767,1.06698234032144,0.523799473806129,0.211928071265341,74.2480196843121,4.32329337779586,40,9.78337718963189,0.37,0.228769908418072,0.0938123409299561,0.0561645481565545,2.28730234297345,1.36857257533382,0.689342957795362,7.57980612189327,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0317102676998402,0.00195721031933158,0.730870939303233,0.10961017925279,1.11801132890724,0.131411305009186,30,54,0.110192758251848,1.5,14.796612224928,0.9,43.4600592899965,2.993615133187,0.906014662320443,0.29379968854209,12.5322734632799,0.837903968095198,0.648283148358154,1.17516552123458,0.29379968854209,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0365220210631766,0.5588979444149,92.5331412429298,0.221204637405808,1.291968633377,2479.96185497845,0.135701598529046,0.916660577745222,0.722734129006326,0.261817825826679,0.33660550588352,0.58,6.1220626162074,0.013,0.0238,0.0072,0.189796695740399,0.812693855085901,0.761587336455345,0.286767066222041,0.022,0.0049,0.0078,0.0042,0.0791649994473319,0.203736566049016,0.667391007999026,0.761587336455345,0.0335749511892639,0.018212137053113,0.714493500572709,0.238652101640028,0.607173210736112,0.229530628053516,0.0444729154222698,1.1272899823002,1.30813942240832,0.944223529548157,0.925616003001889,1.2129638017772
5,"MALE","European_ICRP_2002",14.8927993635196,1.27101667079425,0.814189309796202,0.142161300678224,65.0720280658611,5.12145390879431,40,10.2352269099208,0.37,0.278809281971358,0.121560404189688,0.0622365163524658,2.5372065062318,1.3587902475324,0.66992305096099,2.26150073442948,0.602914893811063,0.595378457638425,0.00150728723452766,0.347085106188937,0.347085106184058,0.41650212742087,0.642858005526046,0.693352127882723,0.00120582978762213,0.00152537468134199,0.312376595565652,0.0208251063710435,0.0694170212368116,0.0326657047824612,0.00189885635777374,0.834611963614557,0.123785202423468,1.2816873672973,0.179919585135734,30,54,0.140055748420423,1.5,14.9892645124325,0.9,43.0100446084253,3.84619887166204,0.245298531221494,0.311661317509113,16.2214318331782,1.30511332990093,0.815133320399416,1.24660624166772,0.311661317509113,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0707328954482565,0.556353894590014,224.71996998547,0.24513472701806,1.29743110482532,2505,0.166479183923504,1.03388433356173,0.716946347569318,0.314174147633654,0.389982405148706,0.58,5.50475982786092,0.013,0.0238,0.0072,0.177,0.811,0.76,0.279028368729646,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0270231016685688,0.0629308509016444,0.737012301419412,0.262995330681619,0.546358121628378,0.262015409279175,0.063008855067477,1.13018118277863,0.80903485344344,0.555538436055579,1.02869152009967,1.49463506575636
6,"MALE","European_ICRP_2002",17.6506922410004,1.13472288148262,2.15005585126239,0.139373917911833,74.2819618380264,5.39616984659628,40,11.2535648258026,0.37,0.264039730426998,0.124630899102527,0.0584784720702665,3.12465812587182,1.33292417774584,0.604995855141617,2.5713104373893,0.609508076318311,0.601889225364332,0.00152377019079578,0.340491923681689,0.340491923677086,0.408590308412503,0.649887986374399,0.700934287766057,0.00121901615263662,0.00154205543308533,0.306442731309377,0.0204295154206251,0.0680983847354171,0.0339436351516685,0.00181011220458747,0.959833086046186,0.100435174881176,1.24605797793844,0.197240215028218,30,54,0.0865053404905769,1.5,14.6115231474371,0.9,45.1820948486421,3.3602350594003,1.15766838389754,0.316188086732213,22.7878644631387,0.910983949413346,0.844284241581353,1.26471551628763,0.316188086732213,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0563222655901566,0.657118154775759,183.878171369995,0.303050919342962,1.36613320693596,2505,0.12307865430216,0.979720875918537,0.934340071746409,0.299673550775246,0.483912697698812,0.58,6.98460992594899,0.013,0.0238,0.0072,0.177,0.811,0.76,0.27683064122723,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0314528983081534,0.0602803945435066,0.693038680910691,0.318345251478714,0.596260622934511,0.242669919671476,0.0734425647636813,1.24656880663554,0.949874451716004,1.1562730004142,1.05056358192825,0.700184007260036
7,"MALE","European_ICRP_2002",17.588479252206,1.11484559004497,0.747294071987286,0.227787208213865,65.5233842690499,2.65031886503581,40,8.78717912423215,0.37,0.166240756830456,0.0727743998055642,0.0519176441588617,1.93828142253529,1.11429519704862,0.943235562946974,8.63160701101305,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0224249360264681,0.00197293678878358,0.529298181158768,0.100518774877146,0.87336097667997,0.0854946231302713,30,54,0.0823432222386504,1.5,15.069803760376,0.9,43.97281104706,2.51332860583042,0.68100125059969,0.254589348399277,9.4389497866638,0.423187395750809,1.09374627509298,1.01834089040846,0.254589348399277,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0339306002404114,0.557501663786089,86.6229440973357,0.176396537031335,1.30893050486765,2418.06179800632,0.114702181347177,0.861796205134357,0.465841171318984,0.210860105106205,0.290795079529355,0.58,3.52754774465261,0.013,0.0238,0.0072,0.221433072744515,0.816881454695598,0.765511597495259,0.303496811349642,0.022,0.0049,0.0078,0.0042,0.0795729160554282,0.237696518765299,0.670829899910319,0.765511597495259,0.0319317544230233,0.0361705442892722,0.496180056133327,0.16914814599142,0.583069547663438,0.197055118029261,0.0796925781128476,0.959042836307378,1.26790509046316,0.336008882765359,0.733068512151764,0.605115750513746
8,"MALE","European_ICRP_2002",15.7510303092413,0.793868777462613,1.07840441213132,0.149203112716959,67.0493682047855,4.87909972429234,40,10.2746146307298,0.37,0.265621587670032,0.0960910902832438,0.0573919735583615,2.51957518152656,1.29629332169522,0.620133715497411,2.78180613253131,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0330486506179093,0.00180404553798316,0.857123859230273,0.0841651269640519,1.24422881912451,0.118703858040444,30,54,0.106190478961039,1.5,14.9209401667213,0.9,44.1089734834252,3.69874682313943,1.14018558960439,0.306826399788102,22.8643742043483,0.798086704878955,1.09965794213613,1.22726680815516,0.306826399788102,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0501224479968412,0.584550675978025,286.597498781091,0.219707493428225,1.31780552790174,2500.52668979882,0.144878244684847,0.907762790404181,0.839052276162968,0.28400639875083,0.27986018518467,0.58,5.94897411244798,0.013,0.0238,0.0072,0.179286255213703,0.811302623825709,0.760283593227545,0.281209002757077,0.022,0.0049,0.0078,0.0042,0.0790294787697054,0.192454172263297,0.666248517223086,0.760283593227545,0.033156043622992,0.0546824580051378,0.65772245922049,0.275199692129726,0.587707358559246,0.268336907049351,0.186785696392835,1.17929291126644,0.803639868574501,0.9226828340509,1.10739357340798,1.27046361496174
9,"MALE","European_ICRP_2002",12.1753646998344,1.17015091546993,1.32014809141826,0.182193534379776,52.581827899448,2.1880214401465,40,8.17475054752729,0.37,0.1382833686006,0.0632785439397135,0.0512870461811057,1.64943090493681,1.13657338138021,0.952241101042654,4.04820926646426,0.6,0.5925,0.0015,0.35,0.349999999995,0.419999999994,0.63975,0.69,0.0012,0.001518,0.3149999999955,0.0209999999997,0.069999999999,0.0212209993437829,0.00166997318911848,0.528138024650334,0.0678937910902178,0.837960757216118,0.119578889751316,30,54,0.169605498722042,1.5,14.783138270101,0.9,44.1788560036615,2.7272471558206,0.841539068303722,0.243754252503434,9.26251345788243,0.538715301386151,1.04272281798595,0.975005129799333,0.243754252503434,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0324811337534135,0.549976149246257,109.429010076475,0.16475444208936,1.20884346147753,2400.95679328542,0.0613035457730621,0.854918497529195,0.485383806913001,0.18530446207812,0.211404557021357,0.58,3.31264044484292,0.013,0.0238,0.0072,0.230175235586973,0.818038625053703,0.76659599881728,0.308119785598535,0.022,0.0049,0.0078,0.0042,0.0796856367191647,0.247080761364547,0.671780177910933,0.76659599881728,0.0312114571830244,0.0356498777534736,0.510815630245095,0.145909745536545,0.469381068165512,0.177957806812472,0.0315379586335416,0.914755981417612,1.23988220552172,0.941253987695202,1.3254208582376,1.05512670984584
