"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.003345764,0.00048546694,0.0038945575
0,6,0.020617707,0.003622702,0.015061352
0,9,0.045048952,0.010164002,0.031804476
0,12,0.0706899,0.019923087,0.05294277
0,15,0.09486445,0.03241107,0.07748033
0,18,0.116549574,0.047075916,0.10456778
0,21,0.13545486,0.06339521,0.13349144
0,24,0.15160194,0.0809074,0.1636589
0,27,0.16514099,0.09921821,0.19458233
0,30,0.17627086,0.117997274,0.22586219
0,33,0.18520339,0.13697135,0.25717276
0,36,0.19214824,0.15591688,0.28824964
0,39,0.1973063,0.17465307,0.31887975
0,42,0.20086685,0.19303547,0.34889275
0,45,0.20300665,0.2109504,0.3781535
0,48,0.20388998,0.22831023,0.40655646
0,51,0.20366883,0.24504925,0.4340207
0,54,0.20248339,0.26112026,0.4604855
0,57,0.20046258,0.2764915,0.48590696
0,60,0.1977247,0.2911442,0.5102551
0,63,0.19437794,0.30507028,0.5335111
0,66,0.1905211,0.31827065,0.5556657
0,69,0.18624413,0.33075354,0.5767171
0,72,0.18162869,0.3425331,0.5966701
0,75,0.17674866,0.35362852,0.6155348
0,78,0.17167075,0.36406267,0.63332593
0,81,0.16645479,0.37386152,0.65006274
0,84,0.16115426,0.3830534,0.6657681
0,87,0.15581653,0.3916682,0.68046874
0,90,0.15048333,0.39973703,0.6941951
0,93,0.14519098,0.4072915,0.706981
0,96,0.13997066,0.41436338,0.71886384
0,99,0.13484868,0.42098433,0.72988427
0,102,0.12984678,0.42718533,0.7400857
0,105,0.12498244,0.43299654,0.7495142
0,108,0.12026914,0.4384471,0.75821775
0,111,0.115716755,0.44356468,0.76624537
0,114,0.11133191,0.4483756,0.7736466
0,117,0.107118376,0.45290458,0.7804707
0,120,0.10307746,0.4571746,0.786766
0,135,0.085383356,0.47532922,0.81185037
0,150,0.071403235,0.48954222,0.82953507
0,165,0.06036229,0.5010952,0.8428359
0,180,0.051566467,0.5107586,0.85343176
0,195,0.044477478,0.5190099,0.86223173
0,210,0.038694773,0.52616173,0.8697463
0,225,0.03392259,0.5324309,0.87628305
0,240,0.029942222,0.537975,0.8820421
0,255,0.026590459,0.5429137,0.8871635
0,270,0.023744222,0.5473401,0.8917512
0,285,0.021309508,0.55132896,0.89588547
0,300,0.019213548,0.5549409,0.8996305
0,315,0.017399225,0.55822605,0.9030386
0,330,0.015821092,0.5612263,0.9061534
0,345,0.014442511,0.5639771,0.9090113
0,360,0.013233605,0.5665085,0.91164345
0,375,0.01216997,0.56884605,0.9140763
0,390,0.011230934,0.57101214,0.9163328
0,405,0.0103990715,0.5730257,0.9184323
0,420,0.009660631,0.5749033,0.92039204
0,435,0.00900273,0.5766595,0.9222268
0,450,0.008415227,0.57830673,0.92394954
0,465,0.0078889625,0.5798561,0.9255715
0,480,0.0074162185,0.5813171,0.9271026
0,495,0.0069903936,0.58269835,0.92855155
0,510,0.0066057504,0.5840072,0.929926
0,525,0.0062572947,0.58525026,0.9312326
0,540,0.005940727,0.58643323,0.93247736
0,555,0.005652331,0.58756137,0.9336656
0,570,0.0053887507,0.58863926,0.93480194
0,585,0.005147273,0.5896708,0.93589056
0,600,0.0049254405,0.5906595,0.93693495
0,615,0.0047210567,0.59160876,0.9379385
0,630,0.004532191,0.59252137,0.9389043
0,645,0.0043571703,0.5934,0.9398349
0,660,0.004194541,0.5942469,0.94073266
0,675,0.004043033,0.5950643,0.9415998
0,690,0.0039015326,0.59585387,0.9424382
0,705,0.0037690522,0.5966174,0.9432495
0,720,0.003644722,0.59735644,0.9440355
0,735,0.0035277747,0.59807235,0.94479734
0,750,0.0034175313,0.59876645,0.94553655
0,765,0.00331339,0.5994398,0.94625425
0,780,0.003214817,0.6000936,0.9469515
0,795,0.0031213372,0.6007288,0.94762933
0,810,0.0030325283,0.6013462,0.9482886
0,825,0.0029480122,0.6019467,0.9489303
0,840,0.002867453,0.6025311,0.9495551
0,855,0.002790546,0.60310006,0.9501637
0,870,0.0027170244,0.6036542,0.95075685
0,885,0.0026466397,0.6041942,0.9513352
0,900,0.0025791759,0.6047206,0.95189923
