"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.14388132,0.026745476,0.02813637
0,6,0.17693548,0.112584025,0.11722518
0,9,0.09504528,0.18603803,0.19274758
0,12,0.063142195,0.22584696,0.23367688
0,15,0.04958645,0.2505613,0.2591493
0,18,0.043227512,0.26868376,0.27787217
0,21,0.039787695,0.28369984,0.2934112
0,24,0.037589155,0.2970995,0.30728993
0,27,0.035953987,0.3095435,0.32018396
0,30,0.034598432,0.32133833,0.33240685
0,33,0.033398803,0.33263507,0.34411353
0,36,0.032299463,0.3435139,0.3553864
0,39,0.031273827,0.3540222,0.36627436
0,42,0.030308072,0.36419153,0.37681016
0,45,0.029394358,0.37404543,0.38701832
0,48,0.028527418,0.38360327,0.39691892
0,51,0.027703494,0.39288154,0.40652928
0,54,0.026919639,0.40189496,0.4158647
0,57,0.026173247,0.410657,0.42493924
0,60,0.025461955,0.4191801,0.4337659
0,63,0.024783533,0.42747587,0.44235674
0,66,0.02413589,0.4355552,0.45072308
0,69,0.023517262,0.44342795,0.45887524
0,72,0.022925967,0.45110345,0.4668229
0,75,0.022360425,0.45859033,0.47457507
0,78,0.02181911,0.46589682,0.48214027
0,81,0.02130055,0.4730306,0.48952654
0,84,0.020803403,0.47999895,0.49674135
0,87,0.020326419,0.48680857,0.50379175
0,90,0.019868443,0.49346578,0.51068425
0,93,0.019428385,0.49997658,0.517425
0,96,0.01900525,0.50634646,0.5240199
0,99,0.018598065,0.51258075,0.53047436
0,102,0.018205956,0.5186844,0.5367935
0,105,0.017828058,0.52466214,0.5429822
0,108,0.017463598,0.5305183,0.5490451
0,111,0.017111825,0.53625715,0.5549864
0,114,0.016772047,0.5418826,0.5608104
0,117,0.016443623,0.5473984,0.5665208
0,120,0.016125951,0.552808,0.5721213
0,135,0.014680429,0.578375,0.5985905
0,150,0.013432882,0.6017237,0.6227634
0,165,0.0123407,0.62313646,0.64493257
0,180,0.0113728605,0.64283854,0.66533124
0,195,0.010506638,0.6610131,0.68414915
0,210,0.009725061,0.6778129,0.70154434
0,225,0.009015191,0.69336754,0.71765125
0,240,0.008367087,0.7077887,0.73258525
0,255,0.0077730473,0.72117335,0.7464467
0,270,0.007226953,0.73360693,0.75932425
0,285,0.006723766,0.74516606,0.771297
0,300,0.0062592635,0.75591964,0.7824364
0,315,0.0058298735,0.7659301,0.792807
0,330,0.0054325345,0.775254,0.8024673
0,345,0.005064571,0.7839431,0.81147087
0,360,0.0047236024,0.79204476,0.8198667
0,375,0.004407507,0.79960245,0.8276999
0,390,0.0041143135,0.8066565,0.8350121
0,405,0.00384229,0.8132437,0.84184134
0,420,0.003589812,0.8193982,0.8482231
0,435,0.0033554318,0.8251515,0.8541897
0,450,0.0031378162,0.83053243,0.85977113
0,465,0.0029357378,0.8355678,0.8649952
0,480,0.0027480552,0.84028244,0.8698874
0,495,0.002573713,0.84469926,0.87447166
0,510,0.0024117243,0.84883964,0.87876993
0,525,0.0022611842,0.8527231,0.8828025
0,540,0.002121255,0.856368,0.8865882
0,555,0.001991165,0.85979116,0.8901445
0,570,0.0018701988,0.863008,0.8934876
0,585,0.0017576932,0.8660332,0.89663225
0,600,0.0016530318,0.86888003,0.89959246
0,615,0.0015556432,0.87156093,0.902381
0,630,0.0014649968,0.8740874,0.9050098
0,645,0.0013806027,0.8764701,0.90748984
0,660,0.0013020075,0.87871885,0.90983135
0,675,0.0012287911,0.88084286,0.91204375
0,690,0.0011605643,0.8828506,0.9141358
0,705,0.0010969675,0.8847499,0.91611576
0,720,0.0010376653,0.88654804,0.917991
0,735,0.0009823485,0.8882519,0.91976863
0,750,0.00093072996,0.8898677,0.9214551
0,765,0.0008825427,0.89140123,0.9230565
0,780,0.00083753926,0.89285797,0.9245783
0,795,0.00079549215,0.89424294,0.92602587
0,810,0.0007561871,0.89556074,0.92740387
0,825,0.0007194302,0.8968157,0.92871684
0,840,0.0006850382,0.8980119,0.9299689
0,855,0.0006528431,0.89915305,0.9311639
0,870,0.00062268955,0.9002425,0.9323054
0,885,0.0005944326,0.9012836,0.93339676
0,900,0.000567939,0.9022793,0.9344411
0,915,0.00054308394,0.90323234,0.9354412
0,930,0.00051975274,0.9041453,0.93639976
0,945,0.00049783837,0.90502065,0.93731934
0,960,0.0004772413,0.90586066,0.93820214
0,975,0.00045787057,0.9066673,0.9390504
0,990,0.00043964002,0.9074425,0.9398661
0,1005,0.00042247173,0.9081882,0.9406511
0,1020,0.00040629203,0.908906,0.94140714
0,1035,0.00039103325,0.90959746,0.9421358
0,1050,0.00037663276,0.910264,0.9428386
0,1065,0.000363032,0.9109071,0.943517
0,1080,0.00035017723,0.9115279,0.94417226
0,1095,0.0003380179,0.9121276,0.9448056
0,1110,0.0003265076,0.91270745,0.9454182
0,1125,0.00031560304,0.9132683,0.94601107
0,1140,0.00030526385,0.9138112,0.9465853
0,1155,0.0002954531,0.9143371,0.9471417
0,1170,0.00028613585,0.9148467,0.94768125
0,1185,0.00027728025,0.9153409,0.94820464
0,1200,0.0002688564,0.9158205,0.94871277
0,1215,0.0002608366,0.916286,0.9492063
0,1230,0.00025319523,0.91673815,0.9496859
0,1245,0.0002459083,0.91717756,0.9501521
0,1260,0.0002389537,0.9176048,0.95060563
0,1275,0.00023231063,0.9180204,0.95104694
0,1290,0.00022595994,0.9184249,0.9514767
0,1305,0.00021988385,0.9188187,0.9518952
0,1320,0.00021406559,0.91920227,0.95230305
0,1335,0.00020848983,0.919576,0.95270056
0,1350,0.00020314204,0.91994035,0.9530882
0,1365,0.00019800894,0.92029566,0.9534664
0,1380,0.0001930781,0.92064226,0.9538355
0,1395,0.00018833787,0.92098045,0.95419574
0,1410,0.00018377739,0.9213106,0.9545476
0,1425,0.0001793865,0.921633,0.9548912
0,1440,0.00017515618,0.9219479,0.95522696
