"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.14336663,0.024777899,0.026042596
0,6,0.19053915,0.10845347,0.11282916
0,9,0.10796646,0.18573627,0.19219522
0,12,0.0731332,0.23049816,0.23811765
0,15,0.057390906,0.25886625,0.26728258
0,18,0.04971882,0.2796499,0.28869727
0,21,0.04552597,0.2967167,0.30631134
0,24,0.04288571,0.31181306,0.32190716
0,27,0.040970977,0.3257492,0.3363115
0,30,0.039417487,0.33891183,0.3499191
0,33,0.038059723,0.35149348,0.36292678
0,36,0.036821242,0.36359477,0.37543765
0,39,0.035665102,0.37527317,0.3875107
0,42,0.03457272,0.38656497,0.3991834
0,45,0.033533975,0.397496,0.41048244
0,48,0.03254275,0.40808675,0.4214291
0,51,0.031595107,0.41835424,0.4320411
0,54,0.03068824,0.42831355,0.44233412
0,57,0.029819686,0.43797868,0.45232263
0,60,0.028987119,0.44736278,0.46202037
0,63,0.028188335,0.45647827,0.47144023
0,66,0.027421808,0.46533635,0.48059377
0,69,0.02668616,0.47394738,0.48949185
0,72,0.025979774,0.4823216,0.49814504
0,75,0.025301168,0.49046865,0.5065633
0,78,0.02464857,0.4983981,0.5147566
0,81,0.024020737,0.5061184,0.52273375
0,84,0.023416603,0.51363766,0.53050303
0,87,0.022835093,0.52096343,0.5380723
0,90,0.02227505,0.5281031,0.54544926
0,93,0.02173533,0.5350638,0.55264115
0,96,0.021214902,0.5418521,0.559655
0,99,0.020712879,0.5484744,0.56649727
0,102,0.020228382,0.5549365,0.573174
0,105,0.019760609,0.56124425,0.5796912
0,108,0.019308722,0.5674029,0.5860544
0,111,0.018872026,0.57341766,0.5922689
0,114,0.018449772,0.57929343,0.59833974
0,117,0.018041302,0.58503485,0.6042719
0,120,0.017645966,0.59064645,0.6100698
0,135,0.015846552,0.61689854,0.63719404
0,150,0.014298559,0.6404657,0.6615448
0,165,0.012953569,0.6617197,0.68350625
0,180,0.0117745055,0.68096197,0.70338994
0,195,0.01073279,0.6984404,0.721452
0,210,0.009806166,0.71436113,0.73790544
0,225,0.00897727,0.728897,0.7529288
0,240,0.008232317,0.74219495,0.76667386
0,255,0.007560096,0.75438213,0.77927196
0,270,0.0069514434,0.76556885,0.7908371
0,285,0.0063988566,0.7758515,0.80146873
0,300,0.00589609,0.7853146,0.8112543
0,315,0.0054378323,0.79403347,0.82027155
0,330,0.005019511,0.80207527,0.8285898
0,345,0.004637176,0.80950016,0.83627117
0,360,0.0042873877,0.8163621,0.84337145
0,375,0.0039671115,0.8227098,0.84994084
0,390,0.0036737064,0.828587,0.85602456
0,405,0.0034047095,0.83403397,0.8616642
0,420,0.0031579041,0.8390873,0.8668976
0,435,0.0029313546,0.84378004,0.87175864
0,450,0.0027233125,0.84814197,0.8762784
0,465,0.0025322153,0.8522004,0.8804848
0,480,0.0023566326,0.85598004,0.88440347
0,495,0.0021952505,0.85950357,0.8880578
0,510,0.002046858,0.86279196,0.8914695
0,525,0.0019103454,0.86586416,0.89465797
0,540,0.001784712,0.8687376,0.8976413
0,555,0.0016690418,0.87142813,0.90043586
0,570,0.0015625103,0.87395024,0.9030566
0,585,0.0014643564,0.87631714,0.90551716
0,600,0.0013738861,0.878541,0.90783
0,615,0.0012904553,0.88063294,0.9100067
0,630,0.0012134785,0.8826032,0.9120578
0,645,0.0011424164,0.8844611,0.9139929
0,660,0.0010767803,0.88621527,0.91582084
0,675,0.0010161231,0.8878734,0.91754967
0,690,0.00096003595,0.88944274,0.9191868
0,705,0.0009081422,0.89092994,0.92073905
0,720,0.0008600977,0.8923409,0.92221266
