"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.0002801709,0.00022705362,0.0043640095
0,6,0.0029570677,0.0023177818,0.019961832
0,9,0.007993531,0.007301816,0.044774625
0,12,0.013911376,0.015135826,0.07620091
0,15,0.019656474,0.025328167,0.11209719
0,18,0.024721904,0.037271168,0.15082623
0,21,0.028958265,0.05040021,0.19116093
0,24,0.032384355,0.06424167,0.23218013
0,27,0.03508027,0.07841688,0.27318808
0,30,0.03714024,0.09263121,0.3136568
0,33,0.03865486,0.106660455,0.3531847
0,36,0.03970556,0.12033772,0.39146698
0,39,0.040363673,0.13354227,0.42827412
0,42,0.0406912,0.1461903,0.46343598
0,45,0.040741965,0.1582273,0.49683043
0,48,0.040562764,0.16962208,0.52837473
0,51,0.040194348,0.18036176,0.5580195
0,54,0.039672256,0.19044778,0.5857438
0,57,0.039027456,0.19989258,0.6115515
0,60,0.03828687,0.208717,0.63546854
0,63,0.037473787,0.21694803,0.6575399
0,66,0.03660824,0.22461686,0.67782724
0,69,0.035707317,0.23175748,0.6964065
0,72,0.034785382,0.23840547,0.71336526
0,75,0.033854403,0.24459681,0.7288
0,78,0.03292418,0.2503671,0.74281335
0,81,0.032002572,0.255751,0.75551176
0,84,0.031095736,0.2607817,0.7670027
0,87,0.030208364,0.2654906,0.7773928
0,90,0.029343901,0.26990697,0.78678554
0,93,0.028504744,0.27405792,0.79528004
0,96,0.02769243,0.27796838,0.8029697
0,99,0.026907805,0.28166097,0.8099413
0,102,0.026151175,0.28515625,0.8162749
0,105,0.02542242,0.2884727,0.82204324
0,108,0.024721112,0.2916269,0.827312
0,111,0.024046594,0.29463366,0.8321401
0,114,0.023398045,0.29750618,0.83657986
0,117,0.022774544,0.3002562,0.8406777
0,120,0.022175109,0.30289412,0.8444743
0,135,0.019503526,0.3146924,0.8600459
0,150,0.017287884,0.32471368,0.8718848
0,165,0.01542852,0.3334369,0.88154215
0,180,0.0138491485,0.34115005,0.8897894
0,195,0.012492307,0.3480403,0.89702815
0,210,0.011314609,0.35423896,0.90348434
0,225,0.010283049,0.35984406,0.9092983
0,240,0.009372288,0.36493224,0.91456586
0,255,0.008562672,0.36956552,0.9193583
0,270,0.007838785,0.37379533,0.9237318
0,285,0.0071883937,0.37766504,0.92773247
0,300,0.0066016675,0.38121173,0.9313992
0,315,0.0060706004,0.38446754,0.93476546
0,330,0.005588589,0.38746053,0.93786025
0,345,0.0051501156,0.39021543,0.94070923
0,360,0.0047505107,0.3927541,0.94333494
0,375,0.004385775,0.39509612,0.9457576
0,390,0.0040524523,0.39725894,0.9479953
0,405,0.0037475245,0.39925823,0.9500642
0,420,0.003468328,0.4011082,0.9519789
0,435,0.0032125032,0.40282166,0.95375276
0,450,0.0029779524,0.40441018,0.9553976
0,465,0.002762794,0.4058843,0.9569244
0,480,0.0025653301,0.40725356,0.9583429
0,495,0.0023840247,0.4085267,0.95966226
0,510,0.0022174856,0.4097116,0.96089053
0,525,0.0020644497,0.4108156,0.9620353
0,540,0.0019237688,0.41184524,0.9631033
0,555,0.0017943961,0.41280654,0.9641008
0,570,0.0016753731,0.41370508,0.9650335
0,585,0.0015658342,0.41454586,0.9659065
0,600,0.0014649729,0.4153335,0.96672475
0,615,0.0013720798,0.41607216,0.96749246
0,630,0.0012864796,0.41676575,0.96821356
0,645,0.0012075766,0.4174177,0.96889174
0,660,0.0011348084,0.4180313,0.9695303
0,675,0.0010676647,0.41860947,0.9701323
0,690,0.0010056786,0.41915497,0.97070056
0,705,0.0009484173,0.41967028,0.97123766
0,720,0.0008954923,0.42015767,0.97174597
0,735,0.0008465435,0.42061928,0.9722276
0,750,0.0008012451,0.42105696,0.97268456
0,765,0.0007592979,0.42147246,0.9731186
0,780,0.0007204277,0.42186743,0.97353137
0,795,0.0006843836,0.42224333,0.9739245
0,810,0.0006509341,0.4226015,0.9742993
0,825,0.00061987125,0.42294315,0.97465706
0,840,0.0005910003,0.42326948,0.97499895
0,855,0.0005641387,0.42358157,0.97532606
0,870,0.0005391351,0.42388028,0.9756394
0,885,0.0005158325,0.4241666,0.9759399
0,900,0.0004940887,0.4244413,0.9762284
0,915,0.000473791,0.42470518,0.9765057
0,930,0.0004548164,0.42495888,0.9767725
0,945,0.00043705714,0.4252031,0.97702944
0,960,0.0004204246,0.4254384,0.9772771
0,975,0.0004048266,0.42566532,0.9775161
0,990,0.00039018234,0.42588437,0.97774696
0,1005,0.00037642056,0.426096,0.9779701
0,1020,0.00036347267,0.42630062,0.978186
0,1035,0.00035127683,0.42649865,0.97839504
0,1050,0.0003397767,0.42669043,0.97859764
0,1065,0.00032891898,0.4268763,0.97879404
0,1080,0.00031865604,0.42705658,0.9789847
0,1095,0.0003089445,0.42723158,0.9791698
0,1110,0.00029974213,0.42740154,0.9793497
0,1125,0.00029101234,0.4275667,0.97952455
0,1140,0.0002827211,0.42772734,0.9796947
0,1155,0.00027483553,0.42788363,0.97986037
0,1170,0.00026732805,0.4280358,0.9800217
0,1185,0.0002601724,0.428184,0.98017895
0,1200,0.00025334407,0.42832842,0.9803322
0,1215,0.00024682027,0.42846927,0.98048174
0,1230,0.00024058021,0.42860663,0.98062766
0,1245,0.00023460433,0.42874068,0.98077005
0,1260,0.0002288773,0.4288715,0.98090917
0,1275,0.00022338278,0.4289993,0.981045
0,1290,0.00021810629,0.42912415,0.9811778
0,1305,0.00021303202,0.42924616,0.9813076
0,1320,0.00020814668,0.42936543,0.9814346
0,1335,0.00020343804,0.42948204,0.9815588
0,1350,0.00019890025,0.42959613,0.9816803
0,1365,0.00019452353,0.42970774,0.9817992
0,1380,0.00019029925,0.42981696,0.9819156
0,1395,0.0001862128,0.4299239,0.9820296
0,1410,0.00018225268,0.4300286,0.98214126
0,1425,0.00017841783,0.4301311,0.98225063
0,1440,0.00017470434,0.43023154,0.9823578
1,0,0,0,0
1,3,0.00016091797,0.00020950098,0.00435448
1,6,0.0019493786,0.002230245,0.020201918
1,9,0.0056746122,0.0071339323,0.04571048
1,12,0.010333662,0.014898473,0.07820588
1,15,0.015042406,0.025040776,0.11543003
1,18,0.019301532,0.03695314,0.15564822
1,21,0.022918396,0.05006597,0.19755958
