"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.25969037,0.024133705,0.025343802
0,6,0.26454613,0.09919539,0.10333031
0,9,0.13918743,0.16270809,0.16884021
0,12,0.100091286,0.19854924,0.20581397
0,15,0.082665086,0.22182947,0.22987138
0,18,0.07385791,0.23941512,0.24807522
0,21,0.0687157,0.2542244,0.2634239
0,24,0.06521536,0.26753473,0.2772291
0,27,0.06249824,0.27992544,0.29008552
0,30,0.06018987,0.29167098,0.3022751
0,33,0.058122363,0.30291003,0.3139402
0,36,0.056217317,0.3137194,0.32515997
0,39,0.054435667,0.3241471,0.33598387
0,42,0.05275637,0.33422667,0.34644657
0,45,0.051167265,0.34398362,0.35657445
0,48,0.049659792,0.3534393,0.3663896
0,51,0.04822688,0.3626125,0.37591147
0,54,0.046862792,0.37151974,0.3851573
0,57,0.045563076,0.3801756,0.39414206
0,60,0.044323817,0.38859317,0.40287942
0,63,0.043141082,0.39678466,0.41138205
0,66,0.042011075,0.40476143,0.41966173
0,69,0.040930416,0.41253382,0.4277292
0,72,0.039896134,0.42011124,0.4355942
0,75,0.038905367,0.4275025,0.44326591
0,78,0.037955537,0.4347157,0.45075274
0,81,0.037044127,0.44175842,0.45806256
0,84,0.03616894,0.4486376,0.4652026
0,87,0.035327807,0.45535988,0.47217965
0,90,0.034518782,0.46193126,0.4790001
0,93,0.03374001,0.46835747,0.48566982
0,96,0.032989785,0.47464395,0.49219444
0,99,0.03226653,0.48079565,0.49857917
0,102,0.031568762,0.48681733,0.50482893
0,105,0.03089511,0.49271345,0.5109483
0,108,0.030244289,0.4984882,0.51694167
0,111,0.029615091,0.5041455,0.5228132
0,114,0.029006405,0.50968915,0.5285667
0,117,0.028417172,0.5151227,0.534206
0,120,0.027846418,0.5204495,0.5397344
0,135,0.025239697,0.54558873,0.56582534
0,150,0.022979626,0.5684789,0.58958244
0,165,0.020997291,0.5893959,0.6112923
0,180,0.01924169,0.6085653,0.6311893
0,195,0.017674588,0.6261749,0.6494685
0,210,0.01626706,0.6423836,0.6662946
0,225,0.014996635,0.6573275,0.68180925
0,240,0.01384542,0.67112577,0.69613594
0,255,0.012798975,0.68388313,0.70938337
0,270,0.011845477,0.6956923,0.7216477
0,285,0.010975038,0.706636,0.7330149
0,300,0.010179214,0.7167887,0.74356204
0,315,0.009450696,0.7262175,0.7533589
0,330,0.0087831,0.73498315,0.76246834
0,345,0.008170819,0.7431407,0.77094746
0,360,0.0076088537,0.7507402,0.7788483
0,375,0.0070927157,0.75782716,0.786218
0,390,0.0066183954,0.7644433,0.7930997
0,405,0.0061822548,0.7706264,0.7995327
0,420,0.0057809833,0.77641124,0.80555296
0,435,0.005411629,0.78182936,0.8111933
0,450,0.0050714626,0.78690976,0.8164837
0,465,0.004757979,0.7916789,0.82145154
0,480,0.0044689695,0.79616106,0.82612205
0,495,0.0042023654,0.8003784,0.83051825
0,510,0.0039562765,0.8043513,0.8346611
0,525,0.003728994,0.8080983,0.83857006
0,540,0.0035189544,0.8116366,0.8422627
0,555,0.0033247226,0.8149818,0.8457553
0,570,0.0031449916,0.8181482,0.8490626
0,585,0.002978564,0.82114905,0.8521985
0,600,0.002824341,0.8239964,0.8551753
0,615,0.0026813247,0.8267014,0.85800457
0,630,0.0025485961,0.82927424,0.86069685
0,645,0.0024253186,0.83172417,0.8632619
0,660,0.0023107254,0.8340599,0.8657086
0,675,0.0022041155,0.8362893,0.868045
0,690,0.0021048447,0.83841956,0.8702788
0,705,0.002012323,0.8404575,0.87241673
0,720,0.0019260173,0.84240913,0.8744653
0,735,0.0018454251,0.8442803,0.8764304
0,750,0.001770102,0.846076,0.8783173
0,765,0.0016996259,0.84780127,0.88013107
0,780,0.0016336141,0.8494604,0.88187635
0,795,0.0015717278,0.8510576,0.88355726
0,810,0.0015136417,0.8525966,0.88517785
0,825,0.001459065,0.85408086,0.8867416
0,840,0.0014077259,0.8555136,0.8882519
0,855,0.0013593795,0.8568978,0.88971174
0,870,0.0013138085,0.8582362,0.89112407
0,885,0.001270806,0.85953134,0.89249146
0,900,0.0012301729,0.8607856,0.89381635
0,915,0.0011917292,0.8620012,0.89510095
0,930,0.0011553174,0.86318004,0.89634746
0,945,0.001120804,0.86432415,0.89755774
0,960,0.0010880552,0.8654352,0.8987337
0,975,0.0010569292,0.8665148,0.8998769
0,990,0.0010273072,0.8675645,0.90098894
0,1005,0.0009990893,0.8685857,0.90207124
0,1020,0.00097221025,0.8695797,0.9031253
0,1035,0.0009465748,0.8705477,0.9041522
0,1050,0.00092205906,0.87149096,0.9051533
0,1065,0.000898607,0.8724105,0.9061296
0,1080,0.0008761747,0.87330717,0.9070821
0,1095,0.000854675,0.8741821,0.90801185
0,1110,0.00083399616,0.87503606,0.9089197
0,1125,0.0008141863,0.87586987,0.90980643
0,1140,0.0007951266,0.87668437,0.91067296
0,1155,0.00077680656,0.8774802,0.91152
0,1170,0.0007591562,0.87825805,0.9123483
0,1185,0.00074212544,0.8790186,0.91315836
0,1200,0.0007257027,0.8797625,0.9139509
0,1215,0.0007098565,0.8804902,0.91472656
0,1230,0.0006945385,0.8812024,0.9154859
0,1245,0.0006797249,0.88189954,0.91622955
0,1260,0.00066539156,0.88258207,0.91695774
0,1275,0.0006515161,0.88325036,0.917671
