"IndividualId","Gender","Population","Organism|Weight","Organism|Ontogeny factor (albumin)","Organism|Ontogeny factor (alpha1-acid glycoprotein)","Organism|BMI","Organism|BSA","Organism|Age","Organism|Gestational age","Organism|Height","Organism|Hematocrit","Organism|VenousBlood|Volume","Organism|ArterialBlood|Volume","Organism|Bone|Specific blood flow rate","Organism|Bone|Volume","Organism|Brain|Volume","Organism|Brain|Specific blood flow rate","Organism|Fat|Volume","Organism|Fat|Vf (lipid)","Organism|Fat|Vf (neutral lipid)-PT","Organism|Fat|Vf (phospholipid)-PT","Organism|Fat|Fraction interstitial","Organism|Fat|Vf (water)","Organism|Fat|Vf (water)-PT","Organism|Fat|Vf (neutral lipid)-RR","Organism|Fat|Vf (neutral lipid)-WS","Organism|Fat|Vf (neutral phospholipid)-RR","Organism|Fat|Vf (neutral phospholipid, plasma)-WS","Organism|Fat|Vf (extracellular water)-RR","Organism|Fat|Vf (intracellular water)-RR","Organism|Fat|Vf (water)-WS","Organism|Fat|Specific blood flow rate","Organism|Gonads|Volume","Organism|Gonads|Specific blood flow rate","Organism|Heart|Volume","Organism|Heart|Specific blood flow rate","Organism|Kidney|Volume","Organism|Kidney|Age of aging onset","Organism|Kidney|Aging half-time","Organism|Kidney|GFRmat","Organism|Kidney|Hill coefficient for aging GFR","Organism|Kidney|Hill coefficient for GFR","Organism|Kidney|Maximal decreasing rate factor","Organism|Kidney|TM50 for GFR","Organism|Kidney|Specific blood flow rate","Organism|Lumen|Effective surface area variability factor","Organism|Lumen|Stomach|Distal radius","Organism|Lumen|Stomach|Gastric emptying time","Organism|Lumen|Stomach|GET_alpha (Weibull function) variability factor","Organism|Lumen|Stomach|GET_beta (Weibull function) variability factor","Organism|Lumen|Stomach|Length","Organism|Lumen|Stomach|Proximal radius","Organism|Lumen|Duodenum|Effective surface area enhancement factor","Organism|Lumen|UpperJejunum|Effective surface area enhancement factor","Organism|Lumen|LowerJejunum|Effective surface area enhancement factor","Organism|Lumen|UpperIleum|Effective surface area enhancement factor","Organism|Lumen|LowerIleum|Effective surface area enhancement factor","Organism|Lumen|Caecum|Effective surface area enhancement factor","Organism|Lumen|ColonAscendens|Effective surface area enhancement factor","Organism|Lumen|ColonTransversum|Effective surface area enhancement factor","Organism|Lumen|ColonDescendens|Effective surface area enhancement factor","Organism|Lumen|ColonSigmoid|Effective surface area enhancement factor","Organism|Lumen|Rectum|Effective surface area enhancement factor","Organism|Stomach|Volume","Organism|Stomach|Specific blood flow rate","Organism|SmallIntestine|Small intestinal transit time","Organism|SmallIntestine|Volume","Organism|SmallIntestine|Specific blood flow rate","Organism|LargeIntestine|Large intestinal transit time","Organism|LargeIntestine|Volume","Organism|LargeIntestine|Specific blood flow rate","Organism|Liver|Volume","Organism|Liver|Specific blood flow rate","Organism|Lung|Volume","Organism|Lung|Fraction vascular","Organism|Muscle|Volume","Organism|Muscle|Vf (lipid)","Organism|Muscle|Vf (neutral lipid)-PT","Organism|Muscle|Vf (phospholipid)-PT","Organism|Muscle|Vf (protein)","Organism|Muscle|Vf (water)","Organism|Muscle|Vf (water)-PT","Organism|Muscle|Fraction interstitial","Organism|Muscle|Vf (neutral lipid)-RR","Organism|Muscle|Vf (neutral lipid)-WS","Organism|Muscle|Vf (neutral phospholipid)-RR","Organism|Muscle|Vf (neutral phospholipid, plasma)-WS","Organism|Muscle|Vf (extracellular water)-RR","Organism|Muscle|Vf (protein)-WS","Organism|Muscle|Vf (intracellular water)-RR","Organism|Muscle|Vf (water)-WS","Organism|Muscle|Specific blood flow rate","Organism|Pancreas|Volume","Organism|Pancreas|Specific blood flow rate","Organism|PortalVein|Volume","Organism|Skin|Volume","Organism|Skin|Specific blood flow rate","Organism|Spleen|Volume","Organism|Spleen|Specific blood flow rate","CYP3A4|Ontogeny factor","CYP3A4|Ontogeny factor GI","UGT1A4|Ontogeny factor","UGT1A4|Ontogeny factor GI"
0,"MALE","European_ICRP_2002",37.3211678598451,0.909136535319201,1.05163163474809,0.196427033785786,119.542831891675,10.7838850434794,40,13.7840545581557,0.4,0.492298277708108,0.205297562671396,0.0464878489802207,5.36262976824884,1.52099952510543,0.576485003355507,10.0433795604314,0.721567770086959,0.712548172960872,0.0018039194252174,0.228432229913041,0.228432229913041,0.274118675895649,0.76937163485522,0.829802935600003,0.00144313554017392,0.00182556645832001,0.205589006921737,0.0137059337947825,0.0456864459826082,0.0316570802311845,0.00526402360691779,0.905018655897784,0.211320462268166,0.973906130481877,0.15645529428187,30,54,0.103802371803261,1.5,15.4379568707914,0.9,46.055917754716,3.474528033733,0.643596819262884,0.404965289976367,20.3000027800994,1.60158927576945,0.761019395640611,1.6198580243653,0.404965289976367,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.0963567284307194,0.491621364358227,313.150260291178,0.525543823572279,1.05275034786369,2505,0.171992623874077,0.855867597687494,1.17729246814924,0.278151694551006,0.429494993800795,0.58,14.8722956012331,0.013,0.0238,0.0072,0.177,0.811,0.76,0.230593379478247,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0335733296712552,0.106594592333798,0.517679470738983,0.568855893895643,1.1644246237561,0.252786036194271,0.210672036477198,1.01755672100528,0.734249415257879,0.420722142627661,1.29150256794979,0.853479607999607
1,"MALE","European_ICRP_2002",30.1078062224713,0.992747949524935,1.19184139204029,0.195572034023733,101.868539907699,9.63658229337846,40,12.4075541653929,0.4,0.430419085524618,0.162542082879265,0.0486657787661481,4.22049140748323,1.43784598511879,0.582533337721283,8.18232606174928,0.711277975041083,0.702387000353069,0.00177819493760271,0.238722024958917,0.238722024958554,0.286466429950264,0.758400140887555,0.817969671297246,0.00142255595008217,0.00179953327685394,0.214849822462698,0.0143233214975132,0.0477444049917107,0.030286042290533,0.00203828088292028,1.10492250420882,0.152601142351828,1.09545525957173,0.262036953977673,30,54,0.0830771233736621,1.5,14.7435679648037,0.9,43.0110199049042,3.07219123852462,0.861482511165877,0.38606160303029,11.1363389436166,0.266629949560377,1.2860640183907,1.54424350477951,0.38606160303029,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.106469393390217,0.510139243064708,214.856717873636,0.398507566912534,1.20005119036113,2505,0.28110138472944,0.811304953063079,0.923811312439043,0.292125609368569,0.605024768042759,0.58,11.4369095517309,0.013,0.0238,0.0072,0.177,0.811,0.76,0.242907341652972,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0330373466425942,0.123271644869181,0.602497598816803,0.448407320329423,0.842509471008847,0.275963641890375,0.0914928090513709,1.0440872371777,1.2247014028433,0.914371955983197,0.988224132351632,1.07774147640697
2,"MALE","European_ICRP_2002",25.6743832058953,0.984003173788927,1.05431208473024,0.176008314792374,92.8109362001712,6.55280352130197,40,12.0776771746931,0.4,0.303549342635928,0.14451491732924,0.0530925468889694,3.73799541001431,1.38554446871408,0.616035685784014,8.45500204725857,0.637267284511247,0.629301443454857,0.00159316821127812,0.312732715488753,0.312732715485305,0.375279258582367,0.679486242110118,0.732857377187934,0.00127453456902249,0.00161228622981346,0.281459443936775,0.0187639629291183,0.0625465430970611,0.0305794345973096,0.00200109387544544,1.04821555376298,0.123873114778652,1.16599610499579,0.256239961877531,30,54,0.132573063430437,1.5,15.004774879941,0.9,44.5700184075868,3.53596170918847,1.01208658706876,0.335247096424014,6.37084945666658,1.5555551545863,1.05180138637314,1.34096080812423,0.335247096424014,266.346353,407.668807,339.371578,237.284957,133.37415,1.638,2.275,2.275,2.275,2.275,3.2396,0.0675074543461301,0.555239209883677,65.8124251263639,0.265088864597853,1.38305984882735,2505,0.144552402427126,0.919005220858914,1.13425603901953,0.288119527874424,0.417652821098317,0.58,7.96272005592804,0.013,0.0238,0.0072,0.177,0.811,0.76,0.267577571829584,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0334552186630079,0.0545429374745796,0.673708545029938,0.386962906040528,0.771080370407927,0.264672513206507,0.0612989980714783,1.21147149876273,0.765779220714308,0.597487135686989,0.858136284532459,0.936978149274657
3,"MALE","European_ICRP_2002",29.1279180287065,0.907637967692112,1.09597331972687,0.16387704207038,103.862791080236,9.5609429402095,40,13.3320110097866,0.4,0.418392299314868,0.180093495675668,0.0515260351890338,4.85193596625334,1.43814311280057,0.632653274410515,7.88299861760309,0.709462630565028,0.700594347682965,0.00177365657641257,0.240537369434972,0.240537369434533,0.28864484332144,0.756464529839961,0.815882025149782,0.00141892526113006,0.00179494045532952,0.21648363249108,0.014432242166072,0.0481074738869066,0.0366357117247547,0.00209823210404373,1.01496748245335,0.202294613213249,1.03391148456356,0.370463112271582,30,54,0.0899057938716773,1.5,15.0001814346596,0.9,45.4750718818054,3.13110995343594,1.3125938506255,0.384815217768772,30.6407094539563,2.92744475761805,1.01270136761412,1.53925735861861,0.384815217768772,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.0713936268814884,0.485002443694767,122.702633019975,0.37846810706774,1.17044845253532,2505,0.199237337400871,0.832060150224972,0.923518588499556,0.310943807822379,0.356592011127621,0.58,10.1285457688427,0.013,0.0238,0.0072,0.177,0.811,0.76,0.243512456478324,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0324003545600134,0.0701998507773927,0.523752181890689,0.441500987659948,0.914193034205268,0.266361912928194,0.297849267007491,1.07838261974148,0.807958668880564,0.914748169907273,0.897956665857688,0.67575888869612
4,"MALE","European_ICRP_2002",24.8105529089083,0.956893713080225,0.892316957316781,0.15834476439187,92.882488063423,8.64432751603626,40,12.517464467886,0.4,0.36864485526719,0.162494041802928,0.0496875560331645,4.19178361324261,1.5100890814727,0.585137383559329,4.74126468625354,0.68746386038487,0.678870562130059,0.00171865965096218,0.26253613961513,0.262536139613774,0.315043367536529,0.733008341135368,0.790583439442601,0.00137492772076974,0.00173928356677372,0.236282525652397,0.0157521683768264,0.0525072279227548,0.0328929298122649,0.00220728779204169,1.01019665973164,0.12533147301379,1.07076961386329,0.207590126092417,30,54,0.112165227794779,1.5,15.4422606309712,0.9,42.8310326107968,3.36523115428986,1.11713708811684,0.369711228809245,20.93592691203,0.938616737071147,0.970560283602382,1.47883406985711,0.369711228809245,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.0733800587389767,0.48736788709427,155.851190294478,0.399445372951323,1.26816870232774,2505,0.23969931960138,0.857631901727275,1.13769218014834,0.293043526957423,0.35072319975298,0.58,9.89827572345225,0.013,0.0238,0.0072,0.177,0.811,0.76,0.25084537987171,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.035717229221808,0.0715917693347835,0.65236648504828,0.399756422078268,0.810945716687806,0.270725814523629,0.119637981224943,1.23460996654831,0.939438603933219,1.13146228125667,0.938377544592156,0.591726898488381
5,"MALE","European_ICRP_2002",22.4128563209133,1.15117841385019,0.974083666132015,0.159357413483175,85.9285083160942,7.08801627768577,40,11.8593931743584,0.4,0.337898912415876,0.136300785623879,0.0540481246069011,3.66412136033017,1.49590641800471,0.611455383198488,5.62360831973878,0.650112390664458,0.641985985781153,0.00162528097666115,0.299887609335542,0.29988760933263,0.359865131199155,0.693182336545979,0.747629249264127,0.00130022478132892,0.00164478434838108,0.269898848399367,0.0179932565599578,0.0599775218665259,0.0328574995803743,0.00217604861549169,0.866557262556397,0.122126082567572,1.17284903911627,0.267341948078119,30,54,0.0714404574831501,1.5,14.9407711721443,0.9,43.117653704898,3.39876930010241,1.94854894505353,0.344066332223706,10.3438651236189,0.474805411830939,1.14014159311908,1.37624203302505,0.344066332223706,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.106778821767783,0.573374941096768,171.605443894931,0.23471810006441,1.35000703813416,2505,0.191033703244297,1.0189500394861,0.662626437080734,0.314667945768822,0.311149797233914,0.58,7.99728426886508,0.013,0.0238,0.0072,0.177,0.811,0.76,0.263295869778514,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0341840932943384,0.0367161889261321,0.626928525599967,0.34364052397991,0.764430817746559,0.241973970150309,0.114997786629831,1.07245354547919,0.99173487199013,0.987262168801607,1.11817376018574,0.910924485931879
6,"MALE","European_ICRP_2002",33.8554079503762,1.29995797310639,0.866319028484229,0.172827754575851,114.729500298698,9.9727283641569,40,13.9961078993258,0.4,0.461471495381209,0.21615820795412,0.0534429177959656,5.31340343183974,1.37389000406396,0.637516809289624,9.57424855486866,0.719345480739766,0.710353662230518,0.00179836370184941,0.230654519260234,0.230654519260207,0.276785423112249,0.767002118838775,0.82724730285073,0.00143869096147953,0.00181994406627161,0.207589067334186,0.0138392711556124,0.0461309038520414,0.0345282457678344,0.00247225296365506,1.02963882668144,0.129704527936726,1.08257287728515,0.270488717464923,30,54,0.114008209578728,1.5,14.7647191183572,0.9,44.4361256881279,3.33713466296658,1.16751625589023,0.391600617984577,23.6185082611152,0.531861545451462,1.3409058341121,1.56640225376522,0.391600617984577,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.127014575931249,0.490967721780711,74.6709567167754,0.421364513933681,1.21265086574674,2505,0.229062047027017,0.807131880920944,0.5817621416126,0.29195606478325,0.629927537350809,0.58,12.8615130620461,0.013,0.0238,0.0072,0.177,0.811,0.76,0.240218173086745,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0341023147242805,0.0987222941333793,0.608835742186552,0.541486849467443,0.901452276214004,0.241911065267797,0.121265460186966,1.1340491373395,0.973139494008985,0.635799452263025,0.711053264131374,1.93890583072304
7,"MALE","European_ICRP_2002",22.7679319059981,0.837149611473863,0.592188255099393,0.146005813100868,88.8704924135225,8.40313046258089,40,12.487534995794,0.4,0.37813864151861,0.152221968757273,0.0514032033270813,4.25143656469296,1.40309209793655,0.574039308912737,3.15155333636102,0.681675131101941,0.673154191963167,0.00170418782775485,0.268324868898059,0.268324868896462,0.321989842675754,0.726836108537445,0.783926400767232,0.00136335026220388,0.00172463808168791,0.241492382006816,0.0160994921337877,0.0536649737792924,0.0333280347848936,0.00221117607402164,1.0193147287635,0.142293733355127,1.16168003804567,0.203861168681356,30,54,0.133569783553624,1.5,15.2341583476995,0.9,42.8474153778513,3.04370216720486,1.20524569437079,0.365736783762408,27.2892575834325,0.753391409942491,0.789625518966352,1.46293436009333,0.365736783762408,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.080337912985513,0.523407353999219,45.7128655284089,0.42850705576545,1.32682432935948,2505,0.241044037040491,0.851700165316103,0.880247367442888,0.295773635270114,0.270439510094495,0.58,9.86056060321813,0.013,0.0238,0.0072,0.177,0.811,0.76,0.252774956299353,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0329790519391855,0.100211230445198,0.696250919571844,0.403058061333278,0.708137009251536,0.246307905021904,0.110580431044171,1.1291122166807,1.11859749246108,0.957939151575843,0.493198775305733,1.74104604108261
8,"MALE","European_ICRP_2002",27.3125869381077,0.942733558059,0.863031853832735,0.195231615533849,94.730979082554,7.31606314485709,40,11.8278646012346,0.4,0.339390775364204,0.148727001618005,0.0573906004342132,3.63969009280388,1.49918344930617,0.589961411296614,8.15415608492523,0.65558551547657,0.647390696533113,0.00163896378869143,0.29441448452343,0.294414484520746,0.353297381424895,0.699018055876893,0.753923342798056,0.00131117103095314,0.00165863135415572,0.264973036068671,0.0176648690712448,0.0588828969041492,0.0299324125099708,0.00204392501116195,0.937628862875791,0.125490394836449,1.05885188228926,0.165780010443871,30,54,0.0883929795366702,1.5,15.0855005421736,0.9,45.8827010375456,3.84764174104125,0.664933507540669,0.347824088500955,9.53591646181038,0.453902502211158,0.929208454771776,1.39127488250898,0.347824088500955,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.0744225088357266,0.551491787465665,138.63279409213,0.376093604619636,1.30039631675967,2505,0.206230561773255,0.852997265898299,0.948864449682646,0.30480917093966,0.438079175775646,0.58,9.90164563870765,0.013,0.0238,0.0072,0.177,0.811,0.76,0.261471494841143,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0332799971089192,0.0207940112309582,0.670142977092475,0.379622582934894,0.808672464951825,0.249149605239033,0.0837002052864713,1.25188135871266,0.900498721232218,0.876484403189224,1.27778632416573,0.723271961822763
9,"MALE","European_ICRP_2002",36.2236236482908,1.13361386292222,1.31056308579421,0.194901935904516,117.124383239027,10.5117544450386,40,13.6328881025645,0.4,0.491205117946962,0.204232971632009,0.0454816435699401,5.24073408517333,1.44007104920164,0.604905336420166,9.81068930627215,0.721023508890077,0.712010715028951,0.00180255877222519,0.228976491109923,0.228976491109923,0.274771789331907,0.768791316354045,0.829177035223589,0.00144204701778015,0.0018241894774919,0.20607884199893,0.0137385894665954,0.0457952982219846,0.034652613810609,0.00383620216625819,0.990491705686556,0.17034326795357,1.17531770537471,0.297749641069558,30,54,0.114741299679657,1.5,14.8085169761322,0.9,44.4283387651145,3.5335443608682,0.781924809537755,0.400481666236456,9.18959489210574,1.01315248657855,0.968956843446818,1.60192461792805,0.400481666236456,292.6883,447.9877,372.9358,260.7527,146.565,1.8,2.5,2.5,2.5,2.5,3.56,0.101073092470986,0.491208515844167,326.251362518714,0.422986697390094,1.20954619500912,2505,0.183523812685288,0.860750385005589,1.01849141094646,0.29233131638578,0.668416447812282,0.58,14.277545734886,0.013,0.0238,0.0072,0.177,0.811,0.76,0.233858946659537,0.022,0.0049,0.0078,0.0042,0.079,0.19,0.666,0.76,0.0361546523401732,0.0775505827313177,0.555760722994945,0.564746000685547,1.08192733634127,0.256852043164971,0.168500890926102,1.15520475393929,1.18247828818762,0.755517243511569,1.57574483710558,1.04150908855226
