"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.00033997445,6.419942E-05,0.002010974
0,6,0.002851317,0.0006751018,0.009747268
0,9,0.007118013,0.0022216504,0.022380741
0,12,0.012113397,0.0048003322,0.03866825
0,15,0.01722817,0.008361716,0.057657205
0,18,0.02214001,0.012790829,0.07863884
0,21,0.026699271,0.01795203,0.10108024
0,24,0.030851232,0.023711883,0.1245741
0,27,0.034587894,0.029948723,0.14880347
0,30,0.03792203,0.03655552,0.173517
0,33,0.04087463,0.043439727,0.19851229
0,36,0.043469243,0.050522003,0.22362387
0,39,0.045729678,0.057734635,0.24871483
0,42,0.047679096,0.065020025,0.27367076
0,45,0.049339704,0.07232933,0.29839528
0,48,0.050732665,0.07962121,0.32280654
0,51,0.05187814,0.08686091,0.34683487
0,54,0.05279529,0.094019294,0.37042075
0,57,0.05350236,0.10107213,0.39351317
0,60,0.05401666,0.10799949,0.41606864
0,63,0.054354653,0.11478516,0.4380502
0,66,0.05453193,0.12141613,0.45942652
0,69,0.054563273,0.12788223,0.48017144
0,72,0.05446266,0.13417575,0.5002635
0,75,0.05424327,0.14029112,0.5196856
0,78,0.05391753,0.14622465,0.5384246
0,81,0.053497117,0.15197425,0.5564711
0,84,0.052992973,0.15753926,0.5738192
0,87,0.05241534,0.16292022,0.5904664
0,90,0.051773768,0.16811875,0.6064131
0,93,0.051077127,0.17313728,0.6216628
0,96,0.050333653,0.17797905,0.63622165
0,99,0.049550943,0.18264794,0.6500984
0,102,0.048736002,0.18714829,0.66330403
0,105,0.047895238,0.1914849,0.67585176
0,108,0.047034513,0.19566292,0.6877568
0,111,0.04615915,0.19968772,0.699036
0,114,0.045273967,0.20356487,0.7097078
0,117,0.044383302,0.2073,0.71979195
0,120,0.043491043,0.21089889,0.7293093
0,135,0.03911285,0.22704905,0.7691826
0,150,0.035058577,0.24061997,0.7983632
0,165,0.031448804,0.25219977,0.8197113
0,180,0.028296081,0.26224828,0.8356558
0,195,0.025559915,0.2711035,0.84800637
0,210,0.023182185,0.2790065,0.85798377
0,225,0.021105237,0.28612855,0.8663614
0,240,0.019278746,0.29259348,0.87361556
0,255,0.017661246,0.2984935,0.880039
0,270,0.016219424,0.30389968,0.8858153
0,285,0.0149267595,0.30886847,0.891064
0,300,0.013762109,0.3134463,0.89586663
0,315,0.012708502,0.3176722,0.900282
0,330,0.011752161,0.3215796,0.90435505
0,345,0.010881756,0.3251978,0.9081214
0,360,0.010087832,0.32855248,0.911611
0,375,0.009362385,0.3316666,0.91484916
0,390,0.008698555,0.33456075,0.91785824
0,405,0.008090382,0.33725345,0.9206579
0,420,0.0075326473,0.33976144,0.9232658
0,435,0.007020727,0.34209996,0.92569786
0,450,0.0065505044,0.34428287,0.92796856
0,465,0.0061182897,0.3463227,0.9300909
0,480,0.0057207616,0.34823093,0.9320769
0,495,0.005354919,0.3500181,0.93393743
0,510,0.0050180405,0.35169378,0.93568236
0,525,0.0047076573,0.35326672,0.9373209
0,540,0.004421522,0.3547449,0.93886125
0,555,0.0041575884,0.35613576,0.9403111
0,570,0.0039139907,0.3574459,0.94167733
0,585,0.0036890244,0.35868153,0.9429664
0,600,0.0034811345,0.3598483,0.94418406
0,615,0.0032888984,0.36095136,0.94533575
0,630,0.0031110214,0.3619955,0.9464264
0,645,0.0029463198,0.36298496,0.9474604
0,660,0.002793708,0.36392382,0.9484419
0,675,0.002652192,0.3648157,0.94937485
0,690,0.0025208655,0.365664,0.95026255
0,705,0.0023988977,0.36647177,0.9511083
0,720,0.0022855273,0.36724186,0.95191497
0,735,0.0021800573,0.3679769,0.9526853
0,750,0.0020818529,0.36867929,0.95342183
0,765,0.0019903295,0.36935118,0.9541267
0,780,0.0019049491,0.36999467,0.9548022
0,795,0.0018252287,0.3706116,0.9554501
0,810,0.0017507124,0.37120375,0.95607233
0,825,0.0016810021,0.3717726,0.9566704
0,840,0.0016157139,0.37231967,0.9572459
0,855,0.0015545108,0.37284628,0.9578001
0,870,0.0014970738,0.3733537,0.95833445
0,885,0.001443112,0.37384304,0.95885
0,900,0.0013923607,0.3743154,0.95934796
0,915,0.0013445724,0.37477177,0.9598293
0,930,0.0012995236,0.37521306,0.96029496
0,945,0.0012570088,0.3756401,0.9607458
0,960,0.0012168392,0.37605366,0.96118265
0,975,0.0011788436,0.37645447,0.96160626
0,990,0.0011428635,0.3768432,0.9620173
0,1005,0.0011087523,0.37722048,0.9624164
0,1020,0.0010763764,0.37758687,0.9628042
0,1035,0.001045615,0.3779429,0.9631812
0,1050,0.0010163537,0.37828907,0.96354795
0,1065,0.0009884856,0.37862584,0.9639049
0,1080,0.00096191233,0.37895367,0.96425253
0,1095,0.00093655393,0.37927294,0.96459126
0,1110,0.00091233215,0.37958404,0.9649214
0,1125,0.0008891621,0.3798873,0.96524346
0,1140,0.00086697016,0.3801831,0.96555763
0,1155,0.00084570557,0.38047168,0.9658643
0,1170,0.0008253148,0.38075337,0.96616375
0,1185,0.00080573175,0.3810284,0.9664563
0,1200,0.0007868942,0.38129708,0.96674216
0,1215,0.0007687615,0.38155964,0.9670216
0,1230,0.0007513015,0.38181624,0.9672948
0,1245,0.0007344754,0.38206714,0.9675621
0,1260,0.000718248,0.38231257,0.96782357
0,1275,0.0007025895,0.38255265,0.96807945
0,1290,0.00068746257,0.3827876,0.96832997
0,1305,0.00067283405,0.38301757,0.96857524
0,1320,0.0006586716,0.38324273,0.9688155
0,1335,0.00064494275,0.38346323,0.9690509
0,1350,0.0006316427,0.3836792,0.96928144
0,1365,0.00061875867,0.38389078,0.96950746
0,1380,0.0006062564,0.3840981,0.96972895
0,1395,0.0005941198,0.38430133,0.9699461
0,1410,0.00058233005,0.3845005,0.970159
0,1425,0.0005708621,0.3846958,0.9703678
0,1440,0.00055971136,0.38488728,0.9705726
1,0,0,0,0
1,3,0.0012558463,0.00028364363,0.0058266353
1,6,0.008868718,0.0025027376,0.024400905
1,9,0.020133046,0.007507092,0.051554587
1,12,0.031768534,0.0151561005,0.084227666
1,15,0.042123687,0.024910538,0.120358236
1,18,0.050673015,0.03616038,0.15850706
1,21,0.05745012,0.048370436,0.19766247
1,24,0.062675506,0.061115317,0.23710592
1,27,0.06659528,0.07407129,0.27631977
1,30,0.06942981,0.08699752,0.31492585
1,33,0.07136381,0.09971769,0.35264435
1,36,0.072549336,0.11210492,0.3892657
1,39,0.07311173,0.124069914,0.4246319
1,42,0.07315515,0.13555206,0.45862323
1,45,0.0727671,0.14651272,0.49114925
1,48,0.072021954,0.15693,0.522143
1,51,0.070983544,0.16679502,0.551557
1,54,0.069707066,0.17610882,0.57936054
1,57,0.06824048,0.18488015,0.60553783
1,60,0.06662561,0.19312356,0.6300874
1,63,0.064898945,0.20085797,0.6530205
1,66,0.06309226,0.20810553,0.67436117
1,69,0.0612331,0.21489066,0.6941446
1,72,0.059345182,0.22123924,0.71241677
1,75,0.057448775,0.22717796,0.7292328
1,78,0.055561002,0.23273383,0.74465597
1,81,0.053696122,0.23793365,0.75875604
1,84,0.051865812,0.24280374,0.77160805
1,87,0.050079428,0.24736959,0.78329074
1,90,0.048344254,0.25165567,0.79388535
1,93,0.046665724,0.25568515,0.80347455
1,96,0.04504764,0.25948,0.812141
1,99,0.043492384,0.26306057,0.8199666
1,102,0.04200111,0.2664459,0.82703114
1,105,0.040573932,0.26965335,0.8334116
1,108,0.03921012,0.2726989,0.83918107
1,111,0.03790825,0.27559704,0.8444081
1,114,0.036666397,0.27836078,0.8491561
1,117,0.03548225,0.2810019,0.85348284
1,120,0.03435325,0.28353086,0.8574407
1,135,0.029440526,0.29478624,0.8731421
1,150,0.025515242,0.30427155,0.88458407
1,165,0.022319797,0.31246293,0.8937131
1,180,0.019670917,0.31964314,0.90141577
1,195,0.01744039,0.32599628,0.9081149
1,210,0.015537429,0.33165315,0.91403526
1,225,0.013896495,0.33671293,0.9193139
1,240,0.012469282,0.34125447,0.92404586
1,255,0.011219417,0.34534252,0.9283035
1,270,0.010118906,0.34903127,0.93214494
1,285,0.009145755,0.35236692,0.93561906
1,300,0.00828232,0.35538927,0.9387675
1,315,0.0075141876,0.35813287,0.94162625
1,330,0.0068293833,0.36062795,0.9442268
1,345,0.00621781,0.36290112,0.94659686
1,360,0.0056708585,0.3649758,0.94876075
1,375,0.005181111,0.3668728,0.95074004
1,390,0.0047421227,0.36861047,0.9525539
1,405,0.00434826,0.37020522,0.95421934
1,420,0.003994573,0.37167162,0.9557514
1,435,0.0036766895,0.37302265,0.95716375
1,450,0.003390707,0.37427002,0.9584684
1,465,0.0031332618,0.37542388,0.95967597
1,480,0.002901313,0.37649345,0.96079606
1,495,0.0026921555,0.37748703,0.9618372
1,510,0.0025033748,0.37841195,0.962807
1,525,0.0023328133,0.37927487,0.96371245
1,540,0.0021785537,0.38008168,0.9645597
1,555,0.002038889,0.38083765,0.965354
1,570,0.001912296,0.3815475,0.9661006
1,585,0.0017974144,0.38221553,0.9668036
1,600,0.0016930318,0.38284546,0.9674671
1,615,0.0015980618,0.38344076,0.96809465
1,630,0.001511534,0.38400444,0.9686893
1,645,0.0014325824,0.38453928,0.969254
1,660,0.001360432,0.38504773,0.9697913
1,675,0.0012943876,0.385532,0.9703034
1,690,0.0012338338,0.3859941,0.9707925
1,705,0.0011782119,0.3864358,0.97126037
1,720,0.001127038,0.38685873,0.97170866
1,735,0.0010798671,0.3872643,0.97213894
1,750,0.0010363098,0.38765383,0.9725525
1,765,0.0009960113,0.3880285,0.9729506
1,780,0.0009586508,0.38838935,0.97333425
1,795,0.000923946,0.3887374,0.9737046
1,810,0.0008916368,0.3890735,0.9740624
1,825,0.00086149614,0.38939843,0.9744086
1,840,0.00083331676,0.38971293,0.97474396
1,855,0.0008069188,0.39001766,0.97506905
1,870,0.00078214123,0.39031318,0.9753845
1,885,0.00075883424,0.39060003,0.9756909
1,900,0.0007368636,0.3908787,0.97598875
1,915,0.0007161189,0.39114964,0.9762784
1,930,0.0006964974,0.39141327,0.97656053
1,945,0.0006778907,0.39166993,0.97683525
1,960,0.000660201,0.39191997,0.97710305
1,975,0.0006433799,0.39216375,0.9773643
1,990,0.0006273761,0.39240152,0.9776192
1,1005,0.00061208615,0.39263353,0.977868
1,1020,0.0005974151,0.39286008,0.97811115
1,1035,0.00058339396,0.39308134,0.9783486
1,1050,0.00056993205,0.39329755,0.97858083
1,1065,0.0005570077,0.39350888,0.97880787
1,1080,0.0005445956,0.39371556,0.97902995
1,1095,0.00053260016,0.3939177,0.97924733
1,1110,0.0005210544,0.3941155,0.97946006
1,1125,0.000509898,0.3943091,0.9796683
1,1140,0.0004991201,0.39449862,0.9798723
1,1155,0.0004886901,0.3946842,0.9800721
1,1170,0.00047859043,0.39486596,0.9802678
1,1185,0.00046879964,0.39504403,0.98045963
1,1200,0.00045930117,0.39521852,0.9806476
1,1215,0.00045007994,0.3953895,0.9808319
1,1230,0.00044111992,0.3955571,0.98101264
1,1245,0.0004324079,0.3957214,0.9811898
1,1260,0.00042393128,0.3958825,0.98136353
1,1275,0.00041567915,0.39604044,0.981534
1,1290,0.00040764082,0.39619538,0.9817012
1,1305,0.0003998069,0.3963473,0.98186517
1,1320,0.00039216838,0.3964964,0.9820261
1,1335,0.00038471707,0.3966426,0.982184
1,1350,0.00037744487,0.39678606,0.98233896
1,1365,0.00037034496,0.39692685,0.9824911
1,1380,0.0003634109,0.397065,0.9826403
1,1395,0.00035663566,0.39720058,0.98278683
1,1410,0.0003500144,0.39733365,0.98293066
1,1425,0.0003435417,0.39746425,0.98307186
1,1440,0.0003372118,0.39759246,0.9832105
2,0,0,0,0
2,3,0.0031462538,0.0005635188,0.005394934
2,6,0.02326468,0.0052290917,0.022031238
2,9,0.053639386,0.015981747,0.047853544
2,12,0.082211114,0.031914156,0.0800152
2,15,0.10390097,0.051127266,0.11572147
2,18,0.118947245,0.072003715,0.15294574
2,21,0.12895611,0.09344398,0.19039212
2,24,0.13537844,0.114759155,0.2272689
2,27,0.13926294,0.13553675,0.2631043
2,30,0.1413253,0.15554057,0.29762533
2,33,0.14205097,0.1746448,0.33068213
2,36,0.1417747,0.19279201,0.3622011
2,39,0.14073357,0.20996709,0.39215627
2,42,0.13910097,0.22618094,0.42055127
2,45,0.13700783,0.24146025,0.44740847
2,48,0.13455607,0.2558412,0.4727618
2,51,0.13182716,0.26936528,0.49665275
2,54,0.12888768,0.28207687,0.5191274
2,57,0.12579289,0.29402146,0.54023516
2,60,0.1225892,0.30524462,0.56002736
2,63,0.11931584,0.31579134,0.5785572
2,66,0.11600609,0.32570544,0.5958792
2,69,0.11268811,0.33502936,0.61204904
2,72,0.109385625,0.34380394,0.62712353
2,75,0.10611848,0.3520682,0.64116025
2,78,0.10290303,0.3598592,0.65421766
2,81,0.099752575,0.36721212,0.6663544
2,84,0.096677646,0.37416008,0.6776293
2,87,0.09368636,0.38073412,0.6881008
2,90,0.09078465,0.38696328,0.6978265
2,93,0.0879766,0.39287457,0.7068627
2,96,0.085264675,0.39849302,0.71526384
2,99,0.08264995,0.40384164,0.7230824
2,102,0.080132365,0.40894175,0.73036814
2,105,0.077710904,0.4138127,0.737168
2,108,0.07538379,0.41847226,0.7435259
2,111,0.07314868,0.42293665,0.74948263
2,114,0.07100277,0.4272205,0.75507563
2,117,0.06894295,0.43133718,0.76033926
2,120,0.06696591,0.4352987,0.76530474
2,135,0.058200676,0.45312676,0.7865541
2,150,0.05099783,0.46833563,0.8035387
2,165,0.045001782,0.481561,0.81773347
2,180,0.039940983,0.4932083,0.8299581
2,195,0.035615638,0.5035524,0.84068507
2,210,0.031879626,0.512792,0.8502069
2,225,0.028625112,0.52107954,0.85872036
2,240,0.025771098,0.52853674,0.8663689
2,255,0.023255398,0.5352645,0.8732644
2,270,0.021029135,0.541348,0.8794978
2,285,0.019053016,0.54686034,0.88514596
2,300,0.017294768,0.5518652,0.8902746
2,315,0.01572743,0.556418,0.8949409
2,330,0.014328119,0.56056756,0.89919496
2,345,0.013077195,0.5643569,0.9030808
2,360,0.011957651,0.56782407,0.9066373
2,375,0.010954648,0.5710026,0.909899
2,390,0.010055174,0.5739226,0.9128964
2,405,0.009247774,0.5766104,0.9156566
2,420,0.008522332,0.57908964,0.91820383
2,435,0.007869892,0.58138144,0.92055947
2,450,0.007282522,0.58350444,0.92274266
2,465,0.006753195,0.58547527,0.9247705
2,480,0.0062756673,0.5873088,0.926658
2,495,0.005844387,0.5890183,0.92841876
2,510,0.005454415,0.5906156,0.9300649
2,525,0.005101358,0.59211123,0.93160725
2,540,0.004781308,0.5935147,0.9330554
2,555,0.0044907844,0.5948344,0.9344181
2,570,0.0042266864,0.596078,0.9357029
2,585,0.0039862506,0.59725213,0.9369169
2,600,0.0037670394,0.598363,0.9380662
2,615,0.00356686,0.59941596,0.9391563
2,630,0.003383761,0.60041595,0.9401922
2,645,0.0032159965,0.6013673,0.94117844
2,660,0.0030620054,0.60227394,0.94211906
2,675,0.002920403,0.6031396,0.94301766
2,690,0.00278995,0.60396725,0.9438775
2,705,0.0026695444,0.60475993,0.9447015
2,720,0.0025582039,0.6055202,0.9454923
2,735,0.002455046,0.60625035,0.9462524
2,750,0.0023592792,0.60695255,0.9469838
2,765,0.0022702056,0.60762876,0.94768864
2,780,0.0021871862,0.60828066,0.94836855
2,795,0.0021096552,0.6089098,0.94902515
2,810,0.0020371263,0.6095177,0.94965994
2,825,0.001969116,0.61010563,0.9502743
2,840,0.0019052207,0.6106748,0.9508694
2,855,0.0018451123,0.61122626,0.9514463
2,870,0.0017884108,0.61176103,0.95200604
2,885,0.0017348777,0.61227995,0.9525496
2,900,0.0016843232,0.612784,0.95307773
2,915,0.0016362565,0.61327386,0.95359135
2,930,0.001590667,0.6137502,0.954091
2,945,0.0015473317,0.6142137,0.9545775
2,960,0.0015060066,0.614665,0.9550514
