"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.5991989,0.03430199,0.035783943
0,6,0.68798304,0.14480898,0.14971308
0,9,0.353939,0.23769745,0.2447822
0,12,0.2372597,0.2866744,0.29491198
0,15,0.18781711,0.31613654,0.32512498
0,18,0.16355495,0.33697376,0.3465362
0,21,0.14951985,0.35369253,0.36374062
0,24,0.13992697,0.36821926,0.37870175
0,27,0.13242626,0.38141042,0.39229265
0,30,0.12602848,0.3936678,0.40492338
0,33,0.12030033,0.40519568,0.4168028
0,36,0.1150424,0.41610992,0.42804953
0,39,0.11015554,0.42648494,0.43874013
0,42,0.10558478,0.43637466,0.44893005
0,45,0.10129609,0.44582137,0.45866296
0,48,0.09726387,0.45486096,0.46797588
0,51,0.09346768,0.4635246,0.47690105
0,54,0.089890264,0.47183982,0.4854668
0,57,0.08651632,0.4798311,0.49369857
0,60,0.08333178,0.48752066,0.5016192
0,63,0.080323674,0.49492863,0.50924957
0,66,0.07748007,0.50207335,0.51660854
0,69,0.07478996,0.50897133,0.5237133
0,72,0.072243206,0.51563776,0.5305793
0,75,0.06983034,0.5220864,0.53722095
0,78,0.06754258,0.52832997,0.54365134
0,81,0.06537181,0.53438,0.5498823
0,84,0.06331044,0.54024726,0.5559251
0,87,0.061351437,0.54594165,0.56178963
0,90,0.05948828,0.5514721,0.5674855
0,93,0.057714917,0.5568471,0.5730213
0,96,0.056025703,0.5620743,0.5784049
0,99,0.054415364,0.5671611,0.58364385
0,102,0.052879084,0.5721139,0.58874494
0,105,0.051412266,0.57693905,0.59371465
0,108,0.050010767,0.5816422,0.5985588
0,111,0.048670627,0.5862287,0.6032829
0,114,0.04738822,0.59070367,0.60789216
0,117,0.046160135,0.5950716,0.61239135
0,120,0.044983197,0.59933704,0.61678505
0,135,0.039768707,0.61926144,0.6373103
0,150,0.035464045,0.63714397,0.65573543
0,165,0.031853035,0.6533064,0.67239195
0,180,0.02878049,0.66799617,0.6875344
0,195,0.026133487,0.6814077,0.70136315
0,210,0.023829054,0.6936979,0.7140396
0,225,0.021805044,0.70499593,0.72569656
0,240,0.020014152,0.71540946,0.73644495
0,255,0.01841991,0.72503036,0.74637914
0,270,0.01699358,0.7339376,0.7555803
0,285,0.01571207,0.74220026,0.76411945
0,300,0.01455674,0.7498785,0.7720586
0,315,0.013512232,0.7570259,0.77945244
0,330,0.012565602,0.7636899,0.78635
0,345,0.011705769,0.7699132,0.79279506
0,360,0.010923261,0.77573395,0.7988268
0,375,0.01020995,0.78118664,0.80448055
0,390,0.009558664,0.78630215,0.80978817
0,405,0.0089632645,0.79110855,0.8147784
0,420,0.008418118,0.7956313,0.81947726
0,435,0.007918346,0.79989326,0.8239083
0,450,0.0074596275,0.8039153,0.82809305
0,465,0.007038099,0.8077165,0.83205086
0,480,0.006650252,0.811314,0.8357994
0,495,0.006292909,0.81472343,0.8393548
0,510,0.0059632333,0.8179592,0.84273165
0,525,0.0056588636,0.8210342,0.84594333
0,540,0.005377566,0.82396036,0.849002
0,555,0.005117183,0.8267486,0.8519188
0,570,0.00487566,0.82940876,0.8547039
0,585,0.004651734,0.83194983,0.8573664
0,600,0.004443571,0.8343801,0.8599149
0,615,0.004249938,0.8367071,0.86235714
0,630,0.0040695774,0.8389378,0.86470014
0,645,0.0039013887,0.84107846,0.86695033
0,660,0.0037443256,0.8431349,0.86911374
0,675,0.0035974495,0.84511256,0.8711959
0,690,0.0034599267,0.84701633,0.87320185
0,705,0.00333098,0.84885085,0.87513626
0,720,0.0032099076,0.8506202,0.87700343
0,735,0.003096085,0.85232824,0.8788072
0,750,0.0029889462,0.85397846,0.8805511
0,765,0.0028879608,0.8555741,0.88223857
0,780,0.0027926483,0.8571181,0.8838727
0,795,0.0027025768,0.8586134,0.8854562
0,810,0.0026173552,0.8600624,0.88699186
0,825,0.0025366158,0.8614676,0.8884819
0,840,0.0024600255,0.8628311,0.8899288
0,855,0.0023872838,0.8641551,0.8913346
0,870,0.002318118,0.8654413,0.89270115
0,885,0.002252271,0.86669165,0.8940303
0,900,0.0021895098,0.8679077,0.89532375
0,915,0.0021296227,0.869091,0.89658314
0,930,0.0020724193,0.87024295,0.89780986
0,945,0.0020177162,0.871365,0.8990053
0,960,0.0019653486,0.8724583,0.90017074
0,975,0.0019151687,0.87352407,0.9013074
