"IndividualId","Time [min]","Organism|PeripheralVenousBlood|DrugX|Plasma (Peripheral Venous Blood) [µmol/l]","Organism|Liver|Periportal|Intracellular|DrugX-CYP3A4-Optimized Metabolite|Fraction of dose-DrugX","Organism|DrugX-CYP3A4-Optimized Metabolite|Total fraction of dose-DrugX"
0,0,0,0,0
0,3,0.0053850757,0.000538401,0.0023817122
0,6,0.043370474,0.004445044,0.010032689
0,9,0.10469056,0.012790298,0.022801079
0,12,0.17247228,0.025275357,0.040042676
0,15,0.23759699,0.041181363,0.06088287
0,18,0.29600757,0.059701804,0.08442856
0,21,0.3463378,0.08008544,0.109873906
0,24,0.38849798,0.10168465,0.1365341
0,27,0.42296082,0.12396391,0.16384679
0,30,0.45042127,0.14649282,0.19136149
0,33,0.4716359,0.1689312,0.21872218
0,36,0.48735124,0.19101687,0.24565391
0,39,0.49827003,0.2125523,0.2719484
0,42,0.50503856,0.23339278,0.2974514
0,45,0.5082438,0.2534365,0.3220526
0,48,0.5084145,0.2726164,0.34567675
0,51,0.5060248,0.290893,0.36827675
0,54,0.5014978,0.30824882,0.3898277
0,57,0.49521017,0.32468385,0.41032234
0,60,0.4874959,0.34021136,0.42976704
0,63,0.47864977,0.354855,0.4481789
0,66,0.46893132,0.3686461,0.46558315
0,69,0.45856705,0.38162154,0.48201135
0,72,0.4477535,0.39382216,0.4974997
0,75,0.43665844,0.40529117,0.51208794
0,78,0.42542374,0.41607308,0.52581817
0,81,0.41416615,0.4262127,0.5387341
0,84,0.40298027,0.43575433,0.5508802
0,87,0.39193872,0.44474122,0.56230116
0,90,0.38109532,0.4532149,0.57304144
0,93,0.37048712,0.46121484,0.5831443
0,96,0.36013898,0.46877825,0.59265196
0,99,0.35006535,0.47593978,0.60160476
0,102,0.34027287,0.4827314,0.6100411
0,105,0.33076409,0.4891826,0.61799717
0,108,0.3215409,0.49532038,0.62550724
0,111,0.31260386,0.5011696,0.63260347
0,114,0.30394787,0.50675285,0.63931596
0,117,0.2955724,0.5120909,0.64567304
0,120,0.28748417,0.5172026,0.6517012
0,135,0.25114492,0.5399252,0.6777346
0,150,0.22112152,0.5590391,0.6986881
0,165,0.19636062,0.5755965,0.7163067
0,180,0.17576541,0.5902397,0.7316379
0,195,0.15842067,0.6033713,0.7452809
0,210,0.14362626,0.6152595,0.7575909
0,225,0.13085358,0.62609464,0.76879656
0,240,0.11970816,0.63601965,0.7790582
0,255,0.10989199,0.6451463,0.78849626
0,270,0.1011771,0.65356505,0.79720575
0,285,0.09339029,0.6613509,0.80526465
0,300,0.086391725,0.66856706,0.8127382
0,315,0.08007423,0.67526793,0.81968236
0,330,0.07434796,0.68150085,0.82614577
0,345,0.069140874,0.68730754,0.8321712
0,360,0.064394526,0.69272375,0.83779544
0,375,0.060057454,0.69778275,0.84305257
0,390,0.056086242,0.7025141,0.847973
0,405,0.052443832,0.7069444,0.85258377
0,420,0.049098033,0.7110975,0.8569096
0,435,0.04602059,0.71499515,0.8609727
0,450,0.043186307,0.7186572,0.86479336
0,465,0.040573105,0.7221016,0.8683901
0,480,0.038161915,0.72534496,0.8717798
0,495,0.03593439,0.7284022,0.874978
0,510,0.033874348,0.73128724,0.8779987
0,525,0.03196809,0.7340126,0.88085496
0,540,0.030202404,0.73658997,0.88355863
0,555,0.02856522,0.73902994,0.8861207
0,570,0.027046017,0.7413423,0.88855106
0,585,0.025634818,0.743536,0.8908589
0,600,0.024323272,0.74561924,0.89305276
0,615,0.023103133,0.7475996,0.89514047
0,630,0.021967113,0.74948424,0.8971291
0,645,0.020908564,0.7512795,0.8990253
0,660,0.01992135,0.7529912,0.9008352
0,675,0.018999819,0.754625,0.9025644
0,690,0.018138848,0.756186,0.9042182
0,705,0.017333757,0.7576788,0.90580124
0,720,0.016580254,0.75910777,0.9073181
0,735,0.015874434,0.76047677,0.90877277
0,750,0.0152126495,0.7617896,0.9101691
0,765,0.014591613,0.76304966,0.91151065
0,780,0.014008228,0.76426023,0.9128006
0,795,0.013459732,0.7654241,0.91404206
0,810,0.012943569,0.76654404,0.9152377
0,825,0.012457354,0.7676226,0.91639024
0,840,0.011998949,0.7686621,0.91750205
0,855,0.011566413,0.7696647,0.9185753
0,870,0.0111578135,0.77063245,0.9196121
0,885,0.01077164,0.7715671,0.9206143
0,900,0.010406159,0.77247053,0.9215839
0,915,0.01006006,0.77334434,0.92252237
0,930,0.009732011,0.77419,0.92343134
0,945,0.009420746,0.775009,0.9243123
0,960,0.009125201,0.77580255,0.9251666
0,975,0.00884423,0.77657205,0.9259955
0,990,0.008576914,0.77731854,0.92680025
0,1005,0.008322394,0.77804315,0.92758197
0,1020,0.008079908,0.7787469,0.9283416
0,1035,0.007848694,0.77943075,0.9290803
0,1050,0.007627846,0.7800956,0.92979884
0,1065,0.0074167177,0.7807422,0.9304982
0,1080,0.0072148545,0.7813714,0.9311791
0,1095,0.0070218015,0.781984,0.9318423
0,1110,0.006836813,0.78258055,0.93248856
0,1125,0.006659594,0.7831618,0.9331186
